Entry,Smile,"BAF3 FGFR3, IC50, nM","BAF3 FGFR1 IC50, nM","BAF3 FGFR2 IC50, nM","BAF3 FGFR4 IC50, nM","BAF3 VEGFR2 IC50, nM","RT112/84 IC50, nM","RT112/84-V555M IC50, nM","UMUC14 IC50, nM","UMUC14-V555M IC50, nM","RT4 IC50, nM","KG1 IC50, nM","DMS114 IC50, nM","FGFR3 WT IC50, nM","FGFR3 (K650E) IC50, nM","FGFR3 (K650M)  IC50, nM","FGFR3 (V555L) IC50, nM","FGFR3 (V555M) IC50, nM","FLT4   IC50, nM","JAK2    IC50, nM","LTK      IC50, nM","FLT1   IC50, nM","JAK3    IC50, nM","VEGFR2 IC50, nM"
6,C[C@@H](Oc1ccc2[nH]nc(c3ccc(Cl)nc3)c2c1)c4c(Cl)cncc4Cl,110,1043,451,2198,864,,,,,,,,,,,,,,,,,,
7,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CCOCC4)c2c1)c5c(Cl)cncc5Cl,36,514,313,1234,887,,,,,,,,,,,,,,,,,,
8,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CCN(C)CC4)c2c1)c5c(Cl)cncc5Cl,3.6,46,28,27,,,,,,,,,,,,,,,,,,,
9,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CCN(CC4)C(=O)N5CCN(C)CC5)c2c1)c6c(Cl)cncc6Cl,6.5,113,114,148,162,,,,,,,,,,,,,,,,,,
10,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CCN(CC4)C(=O)N(C)C)c2c1)c5c(Cl)cncc5Cl,13,290,249,307,323,,,,,,,,,,,,,,,,,,
11,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CCN(CC4)S(=O)(=O)C)c2c1)c5c(Cl)cncc5Cl,5.8,150,104,156,198,,,,,,,,,,,,,,,,,,
12,COC(=O)N1CCN(CC1)c2ccc(cn2)c3n[nH]c4ccc(O[C@H](C)c5c(Cl)cncc5Cl)cc34,38,556,387,591,637,,,,,,,,,,,,,,,,,,
13,CCC(=O)N1CCN(CC1)c2ccc(cn2)c3n[nH]c4ccc(O[C@H](C)c5c(Cl)cncc5Cl)cc34,6,112,,,314,,,,,,,,,,,,,,,,,,
14,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)C4CCN(CC4)S(=O)(=O)C)c2c1)c5c(Cl)cncc5Cl,5.3,99,,,586,,,,,,,,,,,,,,,,,,
15,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CCN(CC4=O)S(=O)(=O)C)c2c1)c5c(Cl)cncc5Cl,48,653,407,412,679,,,,,,,,,,,,,,,,,,
16,C[C@@H](Oc1ccc2[nH]nc(c3ccc(nc3)N4CC5CC(C4)N5S(=O)(=O)C)c2c1)c6c(Cl)cncc6Cl,23,338,,,,,,,,,,,,,,,,,,,,,
