Table S2: differentially regulated genes (DEGs) between mouse GP1 and GP2 clusters;;;;;;
;;;;;;
Gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
PRG4;24,76029346;8,46176157;0,551280637;15,52662218;2,29E-54;2,85E-51
IBSP;18,57260328;8,336744749;0,524611504;15,49450594;3,78E-54;3,91E-51
CILP;1,817524302;7,33546214;1,08614141;4,837240188;1,32E-06;1,93E-05
ETV4;0,131206811;6,837556932;2,562920545;0,761124147;0,446582919;
BARX1;0,302295757;6,105022702;1,086789529;3,726427287;0,000194213;0,001615062
LBHD2;0,654388722;6,078316233;0,724489114;7,630548573;2,34E-14;1,37E-12
HDAC9;7,01991052;6,055791283;0,401961462;15,19924321;3,58E-52;2,78E-49
COL14A1;0,203088313;5,989223561;1,459197503;1,820943097;0,068615507;
CYTL1;8,188003801;5,282711512;0,643385268;8,691207249;3,59E-18;3,84E-16
IGFBP5;1,171264781;5,139413753;0,646794438;6,994458369;2,66E-12;1,13E-10
PTGIS;0,698054795;5,13261995;0,594428431;7,399431745;1,37E-13;7,32E-12
JPH2;0,141854407;5,001283711;1,503082414;1,240745013;0,21469996;
MYOC;0,132665076;4,912414064;1,696843826;0,997406142;0,318567411;
PDZRN4;6,047204519;4,904638124;0,45239173;11,44890555;2,38E-30;7,79E-28
CREB5;4,830232548;4,66226106;0,42570344;11,32549608;9,81E-30;2,90E-27
COX4I2;3,676163352;4,634442589;0,247150039;18,60851631;2,74E-77;1,70E-73
LGR6;1,1692013;4,455148206;0,392117131;10,69724526;1,05E-26;2,25E-24
NFASC;0,344924071;4,388086971;0,708879217;4,017318153;5,89E-05;0,000567563
HSPB8;0,176051592;3,963587403;1,041782423;1,628331279;0,10345466;
ADAMTSL3;0,363090919;3,904179895;0,740015681;3,387043376;0,000706502;0,004860234
COL8A1;1,93621016;3,886825663;0,59911229;6,253543519;4,01E-10;1,20E-08
CKB;0,696026179;3,752025707;0,435162826;7,532793021;4,97E-14;2,88E-12
BMPER;0,388046319;3,716975683;0,454779041;3,398101813;0,000678552;0,004709679
PCDH11X;1,02710768;3,682597748;0,472625708;7,018737458;2,24E-12;9,73E-11
VCAN;0,299538788;3,670811344;0,751298793;3,289502057;0,001003648;
COL1A1;26,83751059;3,643492486;0,521016987;7,282143001;3,29E-13;1,66E-11
CSMD3;0,327996374;3,5847972;0,963849733;2,486580363;0,012897744;0,05337827
GM17455;0,57480274;3,552052315;0,488584833;6,300543922;2,97E-10;9,11E-09
THBS4;1,914671653;3,545774054;0,650553312;5,938776098;2,87E-09;7,28E-08
ANGPT1;0,596030573;3,498850637;0,731452662;3,565331094;0,000363397;0,002780078
MEF2C;4,103960871;3,479179461;0,264929408;13,34495887;1,27E-40;7,16E-38
PTPRE;0,302382613;3,473631794;0,780080749;2,359144986;0,018317098;0,069807246
GM13889;0,405933138;3,467167067;0,964021115;2,778722132;0,005457319;0,026799101
C1QTNF2;0,366955348;3,364954308;0,613943782;3,627715741;0,00028594;0,002268529
FRZB;3,851969338;3,301772257;0,323005414;10,4727731;1,15E-25;2,31E-23
WIF1;13,00147332;3,284409897;0,257962053;13,0055298;1,14E-38;5,44E-36
CYFIP2;0,12709012;3,277830377;1,386884814;0,861892719;0,388746556;
COL10A1;0,996308584;3,244317365;0,275386192;5,852626703;4,84E-09;1,19E-07
NTN4;1,007168557;3,123496926;0,351741442;8,801805167;1,35E-18;1,55E-16
GREM1;0,518757266;3,11768265;0,922452348;2,982462906;0,002859393;0,015526704
CD200;1,692737273;3,079363563;0,274001786;11,34891633;7,51E-30;2,33E-27
HES1;1,89605541;3,071013872;0,333054974;9,718178879;2,52E-22;3,82E-20
COL5A2;15,00558478;3,070234379;0,175240866;17,85542326;2,62E-71;8,15E-68
GAS1;1,356544454;3,062832927;0,449320244;6,925898134;4,33E-12;1,76E-10
SERPINF1;0,77422276;3,005665177;0,402992335;7,151292156;8,60E-13;4,02E-11
NRTN;0,382896618;2,999340817;0,564672556;4,063629083;4,83E-05;0,000476407
NDUFA4L2;2,393409449;2,994027121;0,29368109;10,33214702;5,04E-25;9,79E-23
KAZALD1;0,751827564;2,87963839;0,355252348;7,743899811;9,64E-15;6,09E-13
RGS7BP;0,196579774;2,874618876;0,96980641;1,59143501;0,11151171;
DMD;0,26191335;2,854622979;0,636531498;2,07138735;0,038322612;
IL1RAP;0,145524907;2,853407587;1,065823189;1,108205393;0,267773122;
OMD;7,311384875;2,823777368;0,301747666;9,599144428;8,06E-22;1,19E-19
FOXA2;0,111823851;2,810431838;1,001835845;1,372836381;0,169803218;
ANGPTL1;0,32884586;2,805365064;0,627366697;3,048131637;0,00230269;0,012968552
NEBL;0,734036877;2,77564335;0,393296602;6,845414038;7,63E-12;2,96E-10
SYBU;0,536124959;2,694158293;0,389801097;6,100922879;1,05E-09;2,96E-08
SH3RF2;0,268601857;2,681863715;0,74842256;2,081340547;0,037402746;
TIMP3;4,567663725;2,668185686;0,271179162;10,10896683;5,04E-24;9,21E-22
DLX5;0,299975831;2,645092258;0,542774659;3,592117627;0,000328002;
CILP2;5,882783523;2,627751633;0,212591674;12,64407613;1,21E-36;5,35E-34
CMYA5;0,145875307;2,623562928;0,96191973;1,414049746;0,157347297;
GDF10;0,563123259;2,62146393;0,453166786;5,217241791;1,82E-07;3,28E-06
KCTD16;0,105651526;2,609230442;1,110890565;0,700758135;0,483453969;
HHIPL1;0,171330564;2,604531887;0,88285846;1,540648935;0,123402251;
MFGE8;30,57989819;2,599434489;0,150836786;17,43863946;4,20E-68;8,70E-65
CHST3;0,752620081;2,597755866;0,465319664;5,686748981;1,29E-08;2,87E-07
PCOLCE;4,320338299;2,595139801;0,199435688;13,31845961;1,81E-40;9,36E-38
ARHGAP18;0,711294252;2,55280974;0,47673641;4,911224728;9,05E-07;1,38E-05
STK32B;0,332781563;2,537590102;0,660706937;1,664143844;0,096083687;0,235174099
