TOTAL refs 1539 | with pmid 1427 | abstracts retrieved 1420
refs whose ABSTRACT reports a longitudinal LENGTH endpoint: 596
  ... of which the graph has NEVER recorded a quantitative finding: 231

ref_id	pmid	year	quant	score	human	title
aeppli2025	38402874	2025	NO	8	Y	Safety and Efficacy of Bilateral Epiphysiodesis Surgery to Reduce Final Height in Extremely Tall Adolescents:
aeppli2025a	40463981	2025	NO	8	Y	Inflammation-induced leg length discrepancy in children: from molecular mechanisms to clinical implications
ahirwar2025	41393467	2025	NO	8	Y	Methotrexate use in juvenile idiopathic arthritis and its impact on growth plate development: A prospective observationa
alfaraj2026	42026358	2026	NO	8	Y	Efficacy and safety of vosoritide in children with achondroplasia: a systematic review and meta-analysis
alrayess2025	39492684	2025	NO	8	Y	Anastrozole Improves Height Outcomes in Growing Children With Congenital Adrenal Hyperplasia Due to 21-hydroxylase
bilha2025	41464859	2025	NO	8	Y	Growth Without GH: A Case Series and Literature Review
carroll2025	40581356	2025	NO	8	Y	C-type natriuretic peptide and collagen X marker are aberrant in skeletal dysplasias
chagin2006	16461546	2006	NO	8	Y	Locally produced estrogen promotes fetal rat metatarsal bone growth; an effect mediated through increased chondrocyte
chagin2009	19258714	2009	NO	8	Y	Androgen receptor modulation does not affect longitudinal growth of cultured fetal rat metatarsal bones
cochrane2015ai	26447646	2015	NO	8	Y	Aromatase inhibitors for short stature in male children and adolescents
dotremont2023	37008942	2023	NO	8	Y	Efficacy and safety of a 4-year combination therapy of growth hormone and gonadotropin-releasing hormone analogue
fernndezarjona2024	38589872	2024	NO	8	Y	Sex-based differences in growth-related IGF1 signaling in response to PAPP-A2 deficiency: comparative effects
fjelstad2026	42106650	2026	NO	8	Y	Growth patterns in coeliac disease - a longitudinal study of children aged 0-6 years in Sweden
freer2026	40632615	2026	NO	8	Y	The Impact of Early-Life Growth on Long-Term Cardiometabolic and Neurocognitive Outcomes in High-Income Countries:
gregorova2025	40524006	2025	NO	8	Y	Cytogenetic anomalies are the predominant genetic alteration in children with nonfamilial tall stature: a comparative
hoppe2006	16848703	2006	NO	8	Y	Cow's milk and linear growth in industrialized and developing countries
kanniainen2025	40719687	2025	NO	8	Y	Predicted Adult Height Remained Normal in Children With Premature Adrenarche Despite Advanced Bone Age
koller2026	42131502	2026	NO	8	Y	Foot progression angle modifications alter hip joint contact forces and femoral growth plate mechanics in children
lampl2017	28217849	2017	NO	8	Y	How long bones grow children: Mechanistic paths to variation in human height growth
laufer2025	41400744	2025	NO	8	Y	Long-term outcome (28-40 years) after correction of leg length discrepancy through permanent epiphysiodesis
li2021	34820473	2021	NO	8	Y	SAG therapy restores bone growth and reduces enchondroma incidence in a model of skeletal chondrodysplasias caused
li2024_letrozole	38723894	2024	NO	8	Y	Adding Letrozole to Growth Hormone and Gonadotropin-Releasing Hormone Analog Increases Height in Girls With Short
liang2025	40331725	2025	NO	8	Y	Short stature in pre-pubertal children with X-linked hypophosphatemia
lokulosodipe2020	32054688	2020	NO	8	Y	Phenotype of genetically confirmed Silver-Russell syndrome beyond childhood
lu2026	41877217	2026	NO	8	Y	A novel MMP13 frameshift variant causes short stature via enhanced MMP13-HSPA5 interaction and activated endoplasmic
lui2019	30765323	2019	NO	8	Y	Cartilage-Targeted IGF-1 Treatment to Promote Longitudinal Bone Growth
merchant2025	39813116	2025	NO	8	Y	Approach to the Patient with Achondroplasia-New Considerations for Diagnosis, Management, and Treatment
murakami2004	14871928	2004	NO	8	Y	Constitutive activation of MEK1 in chondrocytes causes Stat1-independent achondroplasia-like dwarfism and rescues
navardauskaite2026	42325617	2026	NO	8	Y	Growth patterns in patients with congenital adrenal hyperplasia analyzed by the QEPS growth model
neely2014	25137428	2014	NO	8	Y	Letrozole vs anastrozole for height augmentation in short pubertal males: first year data
pannier2010	20673820	2010	NO	8	Y	Delayed bone age due to a dual effect of FGFR3 mutation in Achondroplasia
pomeroy2015	25960137	2015	NO	8	Y	Surname-inferred Andean ancestry is associated with child stature and limb lengths at high altitude in Peru, but
roche1975	172855	1975	NO	8	Y	The RWT method for the prediction of adult stature
rua2025	40471380	2025	NO	8	Y	Real-World Safety and Effectiveness of Vosoritide in Achondroplasia: Results from a Single Center in Portugal
ruiz2026	42491490	2026	NO	8	Y	Adult Height After Growth Hormone and Aromatase Inhibitor Therapy for Short Stature due to &lt;i&gt;ACAN&lt;/i&gt;
saavedra2026	42341624	2026	NO	8	Y	Real world data on rhIGF-1 therapy in children with severe primary IGF-I deficiency - The European experience
sada2024	37891382	2024	NO	8	Y	Tall stature and gigantism in transition age: clinical and genetic aspects-a literature review and recommendations
shimada2026	41232919	2026	NO	8	Y	Real-world safety and age-dependent effectiveness of vosoritide in achondroplasia: A single-center retrospective
shimomura2026	42244940	2026	NO	8	Y	Growth hormone therapy after hematopoietic cell transplantation in childhood: a nationwide survey and longitudinal
troib2013	23715123	2013	NO	8	Y	Epiphyseal growth plate growth hormone receptor signaling is decreased in chronic kidney disease-related growth
voss1997	9389235	1997	NO	8	Y	Diurnal variation in stature: is stretching the answer?
vuppalapati2015	26077727	2015	NO	8	Y	Targeted Deletion of Autophagy Genes Atg5 or Atg7 in the Chondrocytes Promotes Caspase-Dependent Cell Death and
weiss2021	34194391	2021	NO	8	Y	Evidence That Non-Syndromic Familial Tall Stature Has an Oligogenic Origin Including Ciliary Genes
wu2011	21592969	2011	NO	8	Y	Nuclear factor-kappaB (NF-kappaB) p65 interacts with Stat5b in growth plate chondrocytes and mediates the effects
xu2025	40818595	2025	NO	8	Y	The effect of isotretinoin treatment for acne vulgaris on height in adolescents: A retrospective cohort study
yang2026	42101462	2026	NO	8	Y	Pattern of height and weight development in a large cohort of underage Chinese pseudohypoparathyroidism patients
zaman2019	30657335	2019	NO	8	Y	Humanin is a novel regulator of Hedgehog signaling and prevents glucocorticoid-induced bone growth impairment
zhang2026a	42051956	2026	NO	8	Y	Case Report: Possible improvement of near-adult height with PEG-rhGH and letrozole in a late-puberty boy with
darbellay2024	38844479	2024	NO	7	Y	Pre-hypertrophic chondrogenic enhancer landscape of limb and axial skeleton development
deillon2015	25676059	2015	NO	7	Y	Natural history of growth hormone deficiency in a pediatric cohort
deng1996	8601314	1996	NO	7	Y	Fibroblast growth factor receptor 3 is a negative regulator of bone growth
gemes2024	38712328	2024	NO	7	Y	Implication of Pappalysins and Stanniocalcins in the Bioavailability of IGF-I in Children With Type 1 Diabetes
