gene	beta_cm	baseMean	log2FC	padj	call
FBN1	+11.14	2.1242	+0.8037	1.143e-03	CLUSTER-RESTRICTED (direction unassigned)
CHD8	+10.22	0.7339	-0.6664	3.836e-02	CLUSTER-RESTRICTED (direction unassigned)
LCORL	+9.99	2.6990	-0.0457	5.512e-01	not cluster-restricted
TET1	+8.32	0.4539	+0.4068	1.864e-01	not cluster-restricted
ZFAT	+7.86	0.2892	-0.1394	NA	not cluster-restricted
NRK	+3.79	6.1015	-0.5650	4.550e-03	CLUSTER-RESTRICTED (direction unassigned)
NF1	-5.55	3.4086	+0.5168	7.018e-03	CLUSTER-RESTRICTED (direction unassigned)
SCUBE3	-7.18	0.1196	-0.0717	NA	not cluster-restricted
DTL	-7.34	0.5294	+0.5895	1.746e-01	not cluster-restricted
IGF1R	-8.23	4.4944	-0.2816	1.415e-01	not cluster-restricted
ADAMTS10	-8.24	0.4021	+0.4572	1.693e-01	not cluster-restricted
ADAMTS6	-8.40	1.9642	+1.2954	1.050e-06	CLUSTER-RESTRICTED (direction unassigned)
IGF2BP2	-8.68	0.7681	-0.1877	6.077e-01	not cluster-restricted
EXT1	-8.70	9.1480	-0.0653	7.779e-01	not cluster-restricted
COL1A1	-10.36	26.8375	+3.6435	1.660e-11	CLUSTER-RESTRICTED (direction unassigned)
ANKRD11	-11.16	3.0545	+0.5716	5.387e-03	CLUSTER-RESTRICTED (direction unassigned)
ACAN	-16.55	47.3517	-0.1909	1.428e-01	not cluster-restricted
