Symbol	Diffrna-MFS_perichondrium_starMin33_PC-mut_vs_PC-WT	RowSum	RowMean	RowSampleSD	RowSampleCV	Description	ReadWrite_SCPs	ReadWrite_human_symbols
1110006O24RIK	-4.27514410018921	0	0	0	0	RIKEN cDNA 1110006O24 gene		1110006O24RIK
1700037H04RIK	-0.825491487979889	0	0	0	0	RIKEN cDNA 1700037H04 gene		C20orf27
1700066B19RIK	-1.55035984516144	0	0	0	0	RIKEN cDNA 1700066B19 gene		1700066B19RIK
1810010H24RIK	-2.6614089012146	0	0	0	0	RIKEN cDNA 1810010H24 gene		C17orf58
1810055G02RIK	-0.617048263549805	0	0	0	0	RIKEN cDNA 1810055G02 gene		C11orf24
2310022B05RIK	-0.580115795135498	0	0	0	0	RIKEN cDNA 2310022B05 gene		C1orf198
2310061I04RIK	-1.00211453437805	0	0	0	0	RIKEN cDNA 2310061I04 gene		C6orf136
2810403D21RIK	0.726462721824646	0	0	0	0	RIKEN cDNA 2810403D21 gene		2810403D21RIK
4632427E13RIK	0.939294934272766	0	0	0	0	RIKEN cDNA 4632427E13 gene		4632427E13RIK
4931406C07RIK	0.69411963224411	0	0	0	0	RIKEN cDNA 4931406C07 gene		C11orf54
4933416I08RIK	-0.660075962543488	0	0	0	0	RIKEN cDNA 4933416I08 gene		4933416I08RIK
4933424G05RIK	4.30379199981689	0	0	0	0	RIKEN cDNA 4933424G05 gene		4933424G05RIK
5530601H04RIK	0.82791131734848	0	0	0	0	RIKEN cDNA 5530601H04 gene		5530601H04RIK
A330076H08RIK	1.26617074012756	0	0	0	0	RIKEN cDNA A330076H08 gene		A330076H08RIK
A430005L14RIK	-0.837849676609039	0	0	0	0	RIKEN cDNA A430005L14 gene		C1orf174
A4GALT	-0.885806977748871	0	0	0	0	alpha 1,4-galactosyltransferase		A4GALT
AA465934	-2.4695291519165	0	0	0	0	expressed sequence AA465934		AA465934
AAMP	-0.623705446720123	0	0	0	0	angio-associated migratory protein		AAMP
ABCA8A	0.955409049987793	0	0	0	0	ATP-binding cassette, sub-family A (ABC1), member 8a		ABCA8A
ABCB1A	1.75236093997955	0	0	0	0	ATP-binding cassette, sub-family B (MDR/TAP), member 1A		ABCB1
ABHD16A	-0.600119292736053	0	0	0	0	abhydrolase domain containing 16A		ABHD16A
ABHD17A	-0.590209186077118	0	0	0	0	abhydrolase domain containing 17A		ABHD17A
ABHD4	-0.743894577026367	0	0	0	0	abhydrolase domain containing 4		ABHD4
ABHD8	-1.0047779083252	0	0	0	0	abhydrolase domain containing 8		ABHD8
ABI3	-1.05952715873718	0	0	0	0	ABI family member 3		ABI3
ABT1	-0.825822591781616	0	0	0	0	activator of basal transcription 1		ABT1
ACAN	-0.543533861637115	0	0	0	0	aggrecan		ACAN
ACAP3	-0.747820436954498	0	0	0	0	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3		ACAP3
ACHE	-2.14767384529114	0	0	0	0	acetylcholinesterase		ACHE
ACSF2	-1.07299637794495	0	0	0	0	acyl-CoA synthetase family member 2		ACSF2
ACSF3	-1.70161879062653	0	0	0	0	acyl-CoA synthetase family member 3		ACSF3
ACTA2	-0.850352346897125	0	0	0	0	actin, alpha 2, smooth muscle, aorta		ACTA2
ACTG2	-0.998660147190094	0	0	0	0	actin, gamma 2, smooth muscle, enteric		ACTG2
ACTG-PS1	-1.07973384857178	0	0	0	0	actin, gamma, pseudogene 1		ACTG-PS1
ACTR1B	-0.667661666870117	0	0	0	0	ARP1 actin-related protein 1B, centractin beta		ACTR1B
ADAM15	-0.678864896297455	0	0	0	0	a disintegrin and metallopeptidase domain 15 (metargidin)		ADAM15
ADAM4	2.54276537895203	0	0	0	0	a disintegrin and metallopeptidase domain 4		ADAM4
ADAMTS19	0.977040708065033	0	0	0	0	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19		ADAMTS19
ADAMTS5	0.764736175537109	0	0	0	0	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)		ADAMTS5
ADAMTSL1	0.640067756175995	0	0	0	0	ADAMTS-like 1		ADAMTSL1
ADAMTSL4	-0.9510857462883	0	0	0	0	ADAMTS-like 4		ADAMTSL4
ADGRE4	1.9915566444397	0	0	0	0	adhesion G protein-coupled receptor E4		ADGRE4
ADI1	-1.01515913009644	0	0	0	0	acireductone dioxygenase 1		ADI1
ADPRH	-0.869002103805542	0	0	0	0	ADP-ribosylarginine hydrolase		ADPRH
ADPRHL1	-1.33500492572784	0	0	0	0	ADP-ribosylhydrolase like 1		ADPRHL1
ADRM1	-0.532021343708038	0	0	0	0	adhesion regulating molecule 1		ADRM1
AEBP1	-0.940160989761353	0	0	0	0	AE binding protein 1		AEBP1
AFG3L1	-0.703727304935455	0	0	0	0	AFG3-like AAA ATPase 1		AFG3L1
AGBL1	3.67907428741455	0	0	0	0	ATP/GTP binding protein-like 1		AGBL1
AGO3	0.652101218700409	0	0	0	0	argonaute RISC catalytic subunit 3		AGO3
AGPAT2	-0.997320115566254	0	0	0	0	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)		AGPAT2
AGPAT3	-0.593149185180664	0	0	0	0	1-acylglycerol-3-phosphate O-acyltransferase 3		AGPAT3
AHRR	4.16556596755981	0	0	0	0	aryl-hydrocarbon receptor repressor		AHRR
AHSA1	-0.755241096019745	0	0	0	0	AHA1, activator of heat shock protein ATPase 1		AHSA1
AIP	-0.727387011051178	0	0	0	0	aryl-hydrocarbon receptor-interacting protein		AIP
AIRN	0.641616463661194	0	0	0	0	antisense Igf2r RNA		AIRN
AKR1B3	-0.590771675109863	0	0	0	0	aldo-keto reductase family 1, member B3 (aldose reductase)		AKR1B1
AKR7A5	-0.803483247756958	0	0	0	0	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)		AKR7A2
AKT1	-0.938015699386597	0	0	0	0	thymoma viral proto-oncogene 1		AKT1
AKT1S1	-0.836973190307617	0	0	0	0	AKT1 substrate 1 (proline-rich)		AKT1S1
ALCAM	0.884363889694214	0	0	0	0	activated leukocyte cell adhesion molecule		ALCAM
ALDH2	-1.32051420211792	0	0	0	0	aldehyde dehydrogenase 2, mitochondrial		ALDH2
ALDOA	-0.870267570018768	0	0	0	0	aldolase A, fructose-bisphosphate		ALDOA
ALDOART1	-1.3767557144165	0	0	0	0	aldolase 1 A, retrogene 1		ALDOART1
ALG12	-1.27594780921936	0	0	0	0	asparagine-linked glycosylation 12 (alpha-1,6-mannosyltransferase)		ALG12
ALG3	-1.34002900123596	0	0	0	0	asparagine-linked glycosylation 3 (alpha-1,3-mannosyltransferase)		ALG3
