PC-mut-596-6-ScxCRE_S6_R1_001Aligned.sortedByCoord.out.bam	PC-mut-597-12-PC-Koscx_S5_R1_001Aligned.sortedByCoord.out.bam	PC-mut-795-11-PC-Koscx_S4_R1_001Aligned.sortedByCoord.out.bam	PC-WT-596-3-PC-WT_S3_R1_001Aligned.sortedByCoord.out.bam	PC-WT-597-4-PC-WT_S2_R1_001Aligned.sortedByCoord.out.bam	PC-WT-795-2-PC-WT_S1_R1_001Aligned.sortedByCoord.out.bam
ENSMUSG00000102693	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0
ENSMUSG00000051951	7	0	2	3	5	1
ENSMUSG00000102851	2	0	0	0	0	0
ENSMUSG00000103377	3	2	4	0	0	3
ENSMUSG00000104017	0	0	1	0	1	1
ENSMUSG00000103025	3	1	0	1	2	2
ENSMUSG00000089699	2	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0
ENSMUSG00000103147	0	0	0	0	0	0
ENSMUSG00000103161	1	0	4	0	2	0
ENSMUSG00000102331	9	13	13	6	4	16
ENSMUSG00000102348	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0
ENSMUSG00000025900	3	3	2	2	4	1
ENSMUSG00000102948	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0
ENSMUSG00000025902	16	18	19	36	32	13
ENSMUSG00000104238	9	0	1	2	0	0
ENSMUSG00000102269	0	0	0	2	7	0
ENSMUSG00000096126	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0
ENSMUSG00000104328	0	2	0	0	0	0
ENSMUSG00000102735	1	0	1	2	5	0
ENSMUSG00000098104	13	14	19	25	49	16
ENSMUSG00000102175	1	0	0	2	1	0
ENSMUSG00000088000	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0
ENSMUSG00000103922	5	10	24	34	34	9
ENSMUSG00000033845	163	137	216	246	299	128
ENSMUSG00000102275	26	23	31	20	25	28
ENSMUSG00000025903	442	433	842	687	439	524
ENSMUSG00000104217	0	0	0	0	0	0
ENSMUSG00000033813	625	433	793	633	582	525
ENSMUSG00000062588	16	15	16	17	28	17
ENSMUSG00000103280	1	1	2	1	0	1
ENSMUSG00000002459	0	0	0	0	0	0
ENSMUSG00000091305	0	0	0	2	0	1
ENSMUSG00000102653	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0
ENSMUSG00000091665	0	0	0	0	0	0
ENSMUSG00000033793	222	179	304	289	265	254
ENSMUSG00000104352	0	0	0	0	0	0
ENSMUSG00000104046	1	0	0	0	1	0
ENSMUSG00000102907	0	0	0	0	0	0
ENSMUSG00000025905	1	0	0	0	1	1
ENSMUSG00000103936	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	1	0	0
ENSMUSG00000033774	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0
ENSMUSG00000025907	906	599	1021	603	521	711
ENSMUSG00000090031	30	34	45	29	12	31
ENSMUSG00000087247	0	0	0	0	0	0
ENSMUSG00000103355	3	7	8	8	17	5
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000103845	6	1	0	3	5	2
ENSMUSG00000033740	1	1	4	1	1	1
ENSMUSG00000103329	0	0	0	0	1	0
ENSMUSG00000104385	1	1	0	0	1	3
ENSMUSG00000102135	193	166	216	181	434	158
ENSMUSG00000103282	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0
ENSMUSG00000051285	657	414	701	409	369	526
ENSMUSG00000098201	26	23	87	29	45	38
ENSMUSG00000103509	8	1	1	1	3	3
ENSMUSG00000048538	8	10	12	19	15	10
ENSMUSG00000103709	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0
ENSMUSG00000097797	4	4	3	2	1	4
ENSMUSG00000103498	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0
