gene	plof_cm	plof_p	want	tractability	matching_approved	matching_clinical	contra_approved
ACAN	-16.6	1.87e-52	up	GO CC high conf,UniProt SigP or TMHMM,UniProt loc med conf			
IHH	-13.1	1.02e-26	up	GO CC high conf,Half-life Data,UniProt SigP or TMHMM,UniProt loc high conf			
SHOX	-12.0	2.85e-16	up	Database Ubiquitination			
ANKRD11	-11.2	7.48e-11	up	Database Ubiquitination			
COL1A1	-10.4	1.51e-10	up	Approved Drug,Database Ubiquitination,GO CC high conf,Half-life Data,Structure with Ligand,UniProt SigP or TMHMM,UniProt loc med conf			
CHD8	10.2	3.44e-11	down	Database Ubiquitination,Half-life Data,UniProt Ubiquitination			
ERF	-9.58	3.56e-22	up	Database Ubiquitination,GO CC high conf,Half-life Data,UniProt Ubiquitination			
GNAS	-9.36	4.27e-06	up				
LCORL	8.85	1.07e-70	down	Database Ubiquitination,UniProt Ubiquitination			
FBN1	8.82	4.57e-27	down	Database Ubiquitination,GO CC high conf,UniProt SigP or TMHMM,UniProt loc high conf			
TET1	8.32	2.23e-14	down	Database Ubiquitination,High-Quality Ligand,Small Molecule Binder,UniProt Ubiquitination			
HMGA2	-8.11	6.11e-13	up	Database Ubiquitination			
ADAMTS10	-8.1	2.6e-29	up	GO CC high conf,UniProt SigP or TMHMM,UniProt loc high conf			
IGF2BP2	-7.83	3.08e-19	up	Database Ubiquitination,Half-life Data			
TRPS1	-7.79	1.19e-10	up	Database Ubiquitination,UniProt Ubiquitination			
EXT1	-7.74	4.59e-15	up	Database Ubiquitination,Half-life Data,Structure with Ligand,UniProt SigP or TMHMM			
TGFB3	7.68	4.04e-17	down	Advanced Clinical,Approved Drug,Database Ubiquitination,GO CC high conf,UniProt SigP or TMHMM,UniProt loc med conf	LUSPATERCEPT	FRESOLIMUMAB	
FGD1	-7.6	1.49e-06	up	Database Ubiquitination,GO CC high conf,Half-life Data,Human Protein Atlas loc			
AMD1	7.18	1.67e-07	down	Database Ubiquitination,Druggable Family,High-Quality Ligand,High-Quality Pocket,Small Molecule Binder,Structure with Ligand			
NPR2	-6.98	2.23e-42	up	Approved Drug,Database Ubiquitination,Druggable Family,GO CC high conf,Half-life Data,UniProt SigP or TMHMM,UniProt loc high conf	CARPERITIDE		
DLK1	-6.79	5.04e-09	up	Database Ubiquitination,Druggable Family,High-Quality Ligand,Small Molecule Binder,UniProt SigP or TMHMM			
SCUBE3	-6.71	2.11e-37	up	GO CC high conf,Human Protein Atlas loc,UniProt SigP or TMHMM,UniProt loc high conf			
