gene	in_kosmicki207	n_probes	d1_detected	d1_cells	d2_detected	d2_cells	d1_RZ	d1_PZ	d1_PHZ	d1_HZ	d1_PC	d1_max_zone	verdict
ABCB1	1	2	1	1	0	0	73	110	141	387	1080	PC	PRESENT_D1
AC004922.1	1	0	0	0	0	0							NOT_ON_PLATFORM
AC073896.1	1	0	0	0	0	0							NOT_ON_PLATFORM
AC127029.3	1	0	0	0	0	0							NOT_ON_PLATFORM
ACAN	1	4	1	15	1	15	14475	58953	57822	58629	9671	PZ	PRESENT_BOTH
ADAMTS10	1	2	1	3	1	5	1209	160	467	724	828	RZ	PRESENT_BOTH
ADAMTS17	1	3	1	2	1	8	312	539	735	439	1850	PC	PRESENT_BOTH
ADAMTS3	1	1	1	1	1	1	113	104	696	263	252	PHZ	PRESENT_BOTH
ADAMTS6	1	3	1	8	1	4	785	2243	1498	3710	1103	HZ	PRESENT_BOTH
ADAMTSL2	1	1	0	0	1	1	94	67	28	21	61		PRESENT_D2_ONLY
ADAMTSL4	1	2	1	1	1	1	787	423	249	575	555		PRESENT_BOTH
ADCY6	1	1	1	4	1	5	3083	2661	855	415	1228	RZ	PRESENT_BOTH
AEBP1	1	1	1	5	1	5	12797	6136	4802	3990	15394	PC	PRESENT_BOTH
AMD1	1	2	1	5	1	8	642	959	1333	1012	769	PHZ	PRESENT_BOTH
ANAPC1	1	0	0	0	0	0							NOT_ON_PLATFORM
ANGPTL2	1	3	1	13	1	14	8246	81202	59670	37974	13150	PZ	PRESENT_BOTH
ANKRD11	1	6	1	10	1	19	886	1143	1442	2722	1250	HZ	PRESENT_BOTH
ANTXR1	1	6	1	7	1	13	4585	10207	8098	5862	10853	PC	PRESENT_BOTH
APOB	1	2	0	0	0	0	181	72	127	347	417		not_detected
ARPC1B	1	1	1	4	1	5	2495	618	1266	1230	1910	RZ	PRESENT_BOTH
ASH1L	1	3	1	2	1	12	626	4288	288	585	206	PZ	PRESENT_BOTH
ASPN	1	2	1	2	1	2	1246	401	66	169	6379	PC	PRESENT_BOTH
B3GNT8	1	1	0	0	0	0	118	57	144	53	266		not_detected
B4GALNT3	1	3	1	5	1	5	2608	9702	6263	2474	933	PZ	PRESENT_BOTH
BMP6	1	3	1	1	1	5	585	201	430	1262	735	HZ	PRESENT_BOTH
C2CD4A	1	1	0	0	0	0	72	146	225	20	89		not_detected
CCAR1	1	3	0	0	1	6	309	468	533	514	52		PRESENT_D2_ONLY
CCDC3	1	1	1	2	1	5	24784	51	168	591	26557	PC	PRESENT_BOTH
CDC23	1	2	1	1	1	4	467	986	445	240	510	PZ	PRESENT_BOTH
CDK6	1	7	1	4	1	7	201	3432	660	964	293	PZ	PRESENT_BOTH
CHAD	1	1	1	5	1	5	1605	3797	4322	5159	1212	HZ	PRESENT_BOTH
CHD8	1	1	0	0	1	5	65	210	131	610	356		PRESENT_D2_ONLY
CLEC11A	1	3	1	15	1	15	18594	86840	58272	51227	12282	PZ	PRESENT_BOTH
CLEC3A	1	1	1	3	1	4	453	614	3450	7641	1222	HZ	PRESENT_BOTH
CNNM3	1	1	0	0	1	4	740	402	508	656	666		PRESENT_D2_ONLY
CNPY2	1	4	1	15	1	18	6046	19267	27434	14561	2770	PHZ	PRESENT_BOTH
COL16A1	1	1	1	5	1	5	13680	71547	39074	12752	27260	PZ	PRESENT_BOTH
COL1A1	1	5	1	17	1	20	80236	49078	40523	51560	62203	RZ	PRESENT_BOTH
COL1A2	1	3	1	12	1	15	15504	4197	7057	10688	44542	PC	PRESENT_BOTH
COL27A1	1	5	1	15	1	15	9651	82178	62630	58318	16896	PZ	PRESENT_BOTH
COL8A1	1	3	1	2	1	5	295	54	91	1670	1935	PC	PRESENT_BOTH
COL8A2	1	2	1	9	1	10	1022	1709	7731	3296	1972	PHZ	PRESENT_BOTH
COLGALT2	1	2	1	6	1	5	7399	27802	22436	21662	5432	PZ	PRESENT_BOTH
CPD	1	5	0	0	1	11	380	358	216	338	712		PRESENT_D2_ONLY
CPT1A	1	4	1	4	1	6	110	10	269	913	2744	PC	PRESENT_BOTH
CPZ	1	0	0	0	0	0							NOT_ON_PLATFORM
CRISPLD1	1	1	1	5	1	5	2015	8223	6281	8837	4763	HZ	PRESENT_BOTH
CRISPLD2	1	2	1	5	1	5	16916	57145	49992	41721	12494	PZ	PRESENT_BOTH
CSAD	1	3	1	5	1	5	1231	1988	4602	2901	1366	PHZ	PRESENT_BOTH
CTU2	1	4	1	1	1	7	555	126	1123	698	50	PHZ	PRESENT_BOTH
CYP26B1	1	2	0	0	1	5	600	37	72	42	498		PRESENT_D2_ONLY
DAAM2	1	1	1	5	1	5	3112	4439	1299	5775	5400	HZ	PRESENT_BOTH
DAP	1	1	1	5	1	5	994	7676	6979	4043	2918	PZ	PRESENT_BOTH
DDR2	1	4	1	9	1	16	1744	2536	3579	3809	3472	HZ	PRESENT_BOTH
DISP1	1	1	1	4	1	5	554	1853	3704	7603	1952	HZ	PRESENT_BOTH
DLK1	1	2	1	1	0	0	400	123	450	946	319	HZ	PRESENT_D1
DPP9	1	3	1	5	1	10	591	86	1529	991	995	PHZ	PRESENT_BOTH
DTL	1	2	0	0	1	4	414	13	322	451	214		PRESENT_D2_ONLY
