gene	probe	enr_d1	enr_d2	enr_min	rz_d1	maxcol_d1	rz_d2	maxcol_d2
ITIH5	219064_at	9.415	7.09	7.09	8527.07	905.729	5779.11	815.095
SMOC1	222784_at	4.103	4.228	4.103	2618.5	638.117	2605.97	616.325
LRRC43	1553728_at	5.431	2.918	2.918	2012.89	370.63	534.903	183.328
FRZB	203697_at	2.789	9.342	2.789	1892.89	678.662	8203.07	878.095
SFRP5	207468_s_at	2.666	12.256	2.666	3655.55	1371.34	8430.53	687.895
PTGDS	211748_x_at	4.026	2.596	2.596	6347.56	1576.7	9659.52	3720.89
CILP	206227_at	2.37	11.153	2.37	1905.03	803.841	6052.07	542.658
CACNB1	210967_x_at	2.286	2.883	2.286	1414.47	618.722	571.132	198.137
CRLF1	206315_at	2.243	2.155	2.155	1184.63	528.161	407.861	189.302
LYL1	210044_s_at	6.63	2.105	2.105	2666.64	402.224	674.63	320.425
