symbol	human_pure_cpm	human_purity_ratio	mt_baseMean	mt_lfc	ru_lfc	interaction_n3	interaction_n2	cartilage_enriched
Cyp1b1	159.02	1.453	82.5	4.135	-0.853	4.988	5.267	0
Tubb3	26.6	1.887	106.1	2.125	-1.036	3.161	1.805	0
Atp1b1	32.45	0.738	361.5	4.276	1.884	2.392	3.549	0
Lrrc15	33.59	1.377	399.6	2.753	0.661	2.091	0.622	0
Alpl	417.55	5.565	10787.5	1.323	-0.747	2.07	1.293	1
Slpi	31.48	24.726	105.7	-2.921	-4.929	2.008	2.1	1
Steap3	39.43	2.095	429.3	-1.267	-3.033	1.767	2.046	1
Col1a1	1449.23	1.452	980868.2	2.542	0.804	1.737	1.961	0
Adam12	32.6	0.244	809.2	1.208	-0.524	1.732	1.259	0
Spon2	142.89	2.896	2366.3	2.296	0.567	1.729	1.185	1
Retreg1	29.05	0.64	268.9	1.854	0.159	1.695	1.372	0
Ptgs2	39.81	0.495	133.8	-3.579	-5.248	1.67	0.952	0
Dkk3	35.56	1.383	3469.4	3.142	1.49	1.652	1.946	0
Atf3	159.32	1.18	137.7	-1.267	-2.877	1.61	1.848	0
Nbl1	38.02	1.81	414.0	1.128	-0.477	1.605	2.458	0
Mturn	35.28	1.149	105.3	2.769	1.184	1.585	1.371	0
Col1a2	911.38	1.234	846685.0	2.234	0.682	1.552	1.765	0
Trim2	26.6	0.657	244.7	2.17	0.628	1.541	1.033	0
Marcksl1	48.24	1.75	754.2	1.308	-0.218	1.526	1.758	0
Tnni2	26.24	9.063	202.5	-3.065	-4.549	1.484	1.124	1
Bmp5	36.73	0.746	1167.3	1.93	0.475	1.455	0.757	0
Lox	390.32	5.522	6774.2	3.113	1.663	1.45	0.519	1
Calcoco2	42.8	0.977	164.2	6.584	5.15	1.434	2.438	0
Ifitm5	74.85	8.032	345.0	2.568	1.135	1.432	0.959	1
Lgals1	464.39	5.103	14745.4	1.768	0.35	1.417	1.159	1
Thbs2	159.29	2.402	20040.0	1.919	0.505	1.414	1.477	1
Scube1	53.54	6.277	1591.6	0.412	-0.984	1.396	1.126	1
Nav1	55.4	0.244	1218.9	1.463	0.075	1.388	0.802	0
Mgst3	128.09	2.954	1140.9	2.517	1.138	1.379	1.649	1
Ibsp	2484.68	7.598	8661.5	1.688	0.329	1.359	1.166	1
Cpm	32.81	0.685	617.1	-0.695	-2.049	1.354	0.53	0
Marcks	79.46	0.592	146.8	1.419	0.073	1.346	1.787	0
Plin2	24.28	0.264	880.2	0.533	-0.808	1.341	1.047	0
Crybg3	31.69	0.712	996.0	1.38	0.04	1.339	1.053	0
Tmem119	28.5	2.447	1032.6	0.881	-0.457	1.338	0.739	1
Tnc	316.85	0.843	42751.4	2.853	1.534	1.319	0.575	0
Pin4	37.83	1.246	73.4	7.23	5.918	1.312	1.375	0
Itga11	43.96	1.049	2695.1	2.828	1.517	1.311	0.656	0
Mlf1	41.5	0.692	112.1	1.523	0.233	1.29	1.156	0
Gxylt2	28.73	1.107	1621.5	3.003	1.717	1.286	1.294	0
S100a4	27.3	0.618	908.1	1.613	0.328	1.285	1.574	0
Tnik	47.77	0.162	132.1	1.398	0.127	1.272	1.781	0
Pdzd2	26.55	0.155	1085.4	1.743	0.492	1.251	0.441	0
Fyn	23.87	0.033	2389.7	2.032	0.795	1.237	1.212	0
Csrp2	29.14	1.77	621.1	0.82	-0.416	1.236	1.75	0
Matn4	67.29	11.99	5538.3	-3.122	-4.351	1.229	1.433	1
Mafb	96.56	2.261	633.4	0.965	-0.264	1.229	1.375	1
Adamts2	71.88	1.085	4981.5	3.764	2.544	1.22	0.879	0
Col5a1	264.42	2.006	47487.9	1.745	0.534	1.211	1.085	1
Sulf1	77.45	0.32	2026.6	1.226	0.024	1.203	1.596	0
Phgdh	37.23	1.987	809.7	1.543	0.352	1.191	1.262	1
Smoc1	32.13	0.913	897.1	-0.931	-2.113	1.182	1.091	0
Nid1	53.69	1.491	6782.4	1.233	0.055	1.178	2.06	0
Igfbp4	32.61	1.102	4078.2	0.718	-0.441	1.159	2.436	0
Efnb2	31.04	1.541	462.1	0.53	-0.61	1.14	1.352	0
Lima1	60.53	1.445	1141.2	1.634	0.509	1.125	1.079	0
Serpinf1	57.91	2.602	11128.6	1.675	0.553	1.122	1.432	1
Igfbp5	62.86	0.69	3424.8	1.873	0.778	1.095	2.226	0
Lef1	84.15	0.587	650.4	1.343	0.264	1.079	0.844	0
Gja1	217.54	6.197	2943.1	1.043	-0.036	1.079	0.904	1
Myh10	22.39	0.718	5698.0	1.268	0.193	1.075	1.074	0
Tuba1a	97.03	1.347	4127.6	1.992	0.932	1.06	1.337	0
Sfrp1	27.94	4.195	1923.4	2.321	1.268	1.053	0.69	1
Csrp1	45.04	2.171	1195.6	0.971	-0.081	1.052	1.239	1
Fosl2	102.23	0.537	473.3	1.858	0.807	1.051	0.776	0
Tpm2	299.89	5.06	1559.7	2.011	0.977	1.035	1.044	1
Antxr1	58.07	0.668	2538.4	1.374	0.343	1.03	1.386	0
Rin1	26.91	2.84	116.5	3.281	2.258	1.023	1.063	1
Col3a1	244.55	1.569	320407.5	1.949	0.939	1.01	1.32	0
Sh3pxd2a	111.9	0.537	3645.7	1.015	0.014	1.001	0.691	0
Fabp5	141.3	6.778	2357.9	4.266	3.269	0.997	0.49	1
Fbxo32	32.37	0.321	60.6	2.016	1.022	0.994	1.184	0
Gem	33.17	0.304	193.9	1.061	0.073	0.988	1.274	0
Trib1	59.81	0.912	201.0	-1.289	-2.276	0.987	0.951	0
Tnfsf11	25.88	1.809	91.8	1.521	0.539	0.982	1.167	0
Myo1b	54.16	0.733	2735.8	2.952	1.975	0.978	0.958	0
Flna	170.49	1.057	24214.8	2.231	1.257	0.974	0.796	0
Pdpn	453.19	1.958	204.4	1.283	0.322	0.962	0.673	0
Slc20a1	121.42	0.742	1234.2	0.996	0.037	0.959	0.903	0
Golm1	65.11	0.784	270.6	-1.499	-2.458	0.959	0.771	0
Slc40a1	155.83	4.104	3619.2	1.983	1.03	0.954	0.492	1
Myo10	69.69	0.419	2906.0	1.93	1.002	0.928	0.508	0
Kctd12	33.31	1.567	613.3	2.169	1.254	0.915	0.74	0
Hebp2	36.83	2.353	197.8	-3.001	-3.91	0.909	0.798	1
Creb3l1	102.58	1.792	3585.2	1.388	0.489	0.9	0.518	0
Penk	85.8	8.014	1853.8	-3.172	-4.071	0.898	1.672	1
Itprid2	35.18	0.844	1223.4	0.99	0.092	0.898	0.325	0
Pcolce	132.9	5.486	19814.8	1.643	0.748	0.895	0.95	1
Ptn	55.63	1.938	8402.3	3.405	2.522	0.882	1.332	0
Stmn1	53.25	2.393	1495.9	4.453	3.573	0.88	0.793	1
Adamts1	106.61	2.548	1234.4	0.877	-0.001	0.877	0.892	1
Gpx3	117.39	3.852	270.7	-2.696	-3.569	0.873	2.366	1
Gch1	30.28	0.255	53.3	1.51	0.637	0.873	1.321	0
Rsrc1	21.37	0.153	609.1	1.326	0.464	0.862	0.617	0
Col5a2	75.15	0.638	72986.4	1.098	0.242	0.856	0.111	0
Rflnb	54.31	1.458	795.6	2.193	1.342	0.851	0.816	0
Gsto1	79.62	1.813	419.4	0.879	0.029	0.851	0.732	0
Prcp	132.38	3.282	592.7	1.348	0.498	0.85	0.335	1
Crybg1	28.83	0.287	365.0	2.26	1.416	0.845	0.891	0
Muc1	117.4	4.735	70.1	-2.084	-2.918	0.834	0.707	1
Smox	51.81	0.88	677.0	-0.595	-1.429	0.833	0.817	0
Mxra7	69.96	1.178	190.4	1.575	0.744	0.831	1.246	0
Selenop	67.52	1.727	988.1	1.8	0.991	0.809	2.751	0
Npdc1	40.3	5.341	525.1	0.782	-0.019	0.802	1.286	1
Rgs2	84.09	1.149	162.2	1.21	0.41	0.8	0.804	0
Chd3	40.58	0.66	7742.5	1.091	0.297	0.794	0.515	0
Matn2	466.95	3.01	9692.7	1.659	0.87	0.789	0.504	1
Cotl1	20.25	0.256	427.1	-0.47	-1.258	0.787	1.26	0
Ednra	46.92	0.836	282.0	1.937	1.155	0.782	0.996	0
Myo1e	72.11	0.098	1877.0	0.76	-0.019	0.779	0.391	0
Cmtm3	30.15	3.251	578.6	1.729	0.961	0.768	1.094	1
Pdlim7	25.38	0.947	1115.2	0.91	0.142	0.768	1.079	0
Itgb5	143.09	1.025	6259.5	0.639	-0.122	0.761	0.602	0
St3gal1	40.03	0.201	599.5	-0.44	-1.194	0.754	1.035	0
Nrp2	218.45	1.148	2497.4	2.415	1.669	0.746	0.135	0
Dapk2	31.89	0.365	172.7	1.01	0.268	0.741	0.702	0
Fxyd6	187.28	2.728	469.8	0.697	-0.027	0.724	0.884	1
Ano6	28.69	0.185	704.8	1.256	0.533	0.723	1.082	0
Gprc5b	26.36	2.906	289.1	2.805	2.082	0.723	0.608	1
Steap4	182.05	15.718	245.5	-1.579	-2.298	0.719	1.404	1
Rgs10	47.15	1.148	448.0	2.281	1.567	0.714	0.958	0
Cdh11	93.04	0.495	7396.9	2.241	1.528	0.713	1.301	0
Palld	116.36	0.364	2267.7	2.982	2.274	0.708	0.271	0
Lmna	325.05	0.849	10385.3	1.035	0.328	0.706	0.887	0
Arap1	27.87	1.279	2409.5	-0.445	-1.15	0.705	0.922	0
Hmox1	23.2	0.356	506.6	0.84	0.136	0.705	1.514	0
Arhgef2	28.35	0.356	1200.9	0.818	0.117	0.701	0.582	0
Litaf	107.81	0.403	286.4	-0.458	-1.156	0.697	0.763	0
Jpt1	30.61	0.902	1380.6	0.296	-0.402	0.697	0.714	0
Shf	30.44	1.418	443.2	0.831	0.139	0.693	0.618	0
Col18a1	32.79	0.756	3608.8	2.229	1.54	0.689	2.27	0
Thy1	70.49	4.303	785.6	3.696	3.013	0.683	1.175	1
Pfkp	82.34	0.941	1390.4	-1.105	-1.787	0.682	0.532	0
Gadd45b	478.65	3.197	442.0	-0.789	-1.465	0.676	0.366	1
Epb41l2	97.06	0.437	4997.7	1.039	0.375	0.664	0.328	0
Jag1	22.0	0.452	721.4	2.583	1.928	0.655	1.279	0
Larp6	26.76	1.215	218.1	1.763	1.109	0.654	0.419	0
Vstm4	20.47	0.576	299.6	1.823	1.171	0.652	0.968	0
Armc10	25.91	1.001	539.4	3.535	2.883	0.652	0.128	0
Cerk	21.29	0.376	647.3	0.921	0.272	0.648	0.54	0
Zfand2a	21.87	0.873	107.8	-2.293	-2.94	0.647	0.981	0
Mid1	22.97	0.553	256.0	2.438	1.792	0.646	0.09	0
Nrbf2	32.19	1.187	90.9	0.808	0.165	0.643	1.225	0
Lyst	23.96	0.072	1037.0	1.181	0.54	0.641	0.812	0
Tgfb1i1	35.82	4.091	258.9	1.048	0.407	0.641	0.714	1
Perp	26.95	4.016	87.7	1.993	1.354	0.639	0.825	1
Cd320	59.75	5.187	823.3	1.49	0.852	0.638	0.432	1
Arl5b	31.03	0.493	172.6	0.98	0.343	0.637	0.126	0
Foxp1	44.08	0.068	591.3	1.102	0.467	0.635	0.804	0
Atp1b3	124.14	0.369	1912.5	-1.276	-1.908	0.633	0.601	0
Pdlim5	112.16	0.328	831.9	0.825	0.196	0.629	0.538	0
Metrn	75.24	2.8	498.7	-1.776	-2.398	0.621	0.951	1
Ogn	94.24	2.4	6617.5	2.558	1.937	0.621	1.428	1
Jade1	82.95	1.264	419.1	1.977	1.358	0.619	0.615	0
Angptl2	484.89	1.731	10146.9	0.573	-0.045	0.618	0.188	0
Pygb	28.78	0.696	2739.7	1.635	1.021	0.614	0.846	0
Myh9	88.1	0.343	9214.0	1.603	0.991	0.612	0.857	0
Terf1	36.16	0.98	177.9	-0.64	-1.249	0.609	1.198	0
Pole4	30.61	3.692	180.3	1.05	0.441	0.609	0.161	1
Wnt5a	57.22	2.95	448.9	1.228	0.619	0.609	0.692	1
Mxi1	46.66	1.111	281.7	0.94	0.333	0.607	0.353	0
Hmgn2	274.32	3.926	81.6	4.266	3.661	0.605	0.662	1
Wdr82	38.62	0.611	648.5	0.516	-0.089	0.605	0.232	0
Ly6e	81.65	5.281	493.7	0.868	0.265	0.603	0.286	1
Synj2	22.33	0.237	300.4	1.926	1.325	0.601	1.062	0
