accession,repository,species,age,anatomical_site,tissue,n_samples,n_cells,platform,modality,zonal_identity_resolvable,could_close_gap,url,notes
GSE9160,GEO,human,"11y10m female; 13y3m male",distal femur,growth plate cartilage,10,not_applicable,Affymetrix HG-U133 Plus 2.0 (GPL570),laser-capture microdissection + microarray,yes,"g_l3core_006; g_l4endo_003; g_l4endo_009; g_l3rest_007; g_l3rest_009; g_l6mech_007; g_l11path_023",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9160,"THE highest-value re-analysis target in the atlas. The only publicly deposited zone-resolved transcriptome of a HUMAN growth plate: RZ, PZ, PHZ, HZ and perichondrium separately microdissected. Entire human zonal transcriptome rests on n=2 donors. 12,193 and 18,454 probe sets present in patients 1 and 2. Answers 'is gene X expressed in human zone Y' for any probed transcript without new tissue."
GSE288028,GEO,human + mouse,11-14 y (4 patients),epiphysiodesis needle biopsy (long bone),growth plate cartilage,14,not_reported,Illumina NovaSeq 6000 (GPL24676/GPL24247),scRNA-seq (+/- GH stimulation ex vivo),partial,"g_l2stem_009; g_l2stem_001; g_l4endo_001",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288028,"Chagin/Savendahl. CRITICAL CAVEAT recorded in the GEO record itself: 'Raw files for human/patient samples were not submitted to GEO due to concerns about submitting personally identifiable sequence data.' The flagship human growth-plate scRNA-seq dataset is therefore NOT fully reusable. Processed matrices only."
GSE246390,GEO,human,adolescent (3 epiphysiodesis patients),long bone physis,growth plate cartilage biopsy,19,not_applicable,Illumina NovaSeq 6000 (GPL24676),bulk RNA-seq (Smart-seq2) after controlled mechanical loading,no,"g_l6mech_001; g_l6mech_007; g_l6mech_009",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246390,"9 loaded vs 9 control biopsies, 0.4 N at 0.77 Hz for 30 s, 24 h culture. The ONLY human growth-plate mechanotransduction transcriptomic dataset. Bulk, so cannot say which zone responded."
GSE18338,GEO,human,one girl at Tanner B2 then B3,proximal tibia,growth plate cartilage,6,not_applicable,Agilent array (GPL9324),microarray,no,"g_l7fuse_003; g_l7fuse_005",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18338,"Within-subject pubertal progression in ONE patient. Nearest existing evidence to a human peri-fusion transcriptome, but stops at Tanner B3, well before fusion."
GSE234040,GEO,human,fetal (multiple gestational ages) + postnatal,10 skeletal sites,prospectively sorted skeletal stem cells,39,not_reported,Illumina (GPL15520/GPL24676),scRNA-seq of PDPN+CD73+CD164+ hSSC,partial,"g_l2stem_009; g_l2stem_004",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234040,"Directly tests whether the hSSC surface panel maps onto growth-plate zones; sorted populations lose spatial identity, so zonal assignment requires back-mapping to GSE9160."
GSE233188,GEO,human,17 weeks gestational age,fetal growth plate and periosteum,skeletal stem cells (barcoded),4,not_reported,Illumina (GPL15520/GPL24676),lentiviral barcode clonal tracking + scRNA-seq after xenotransplant,partial,"g_l2stem_001; g_l2stem_010",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233188,"The closest thing to human lineage tracing that exists. Clones are read out in a mouse graft, not in a human growth plate, so it reports POTENCY under xenograft conditions, not native fate."
GSE267139,GEO,human,fetal E59 + hPSC-derived,distal femur epiphysis and growth plate,growth plate and articular chondrocytes,25,not_reported,Illumina (GPL20301),scRNA-seq,partial,"g_l2stem_003; g_l0 developmental origin",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267139,"Fetal, i.e. before secondary ossification centre formation. Cannot address postnatal resting-zone stem cell questions."
GSE209948,GEO,human,9-18 weeks gestation (4 fetuses),knee joint interzone and surrounding growth plate,joint anlagen + growth plate cartilage,5,not_reported,Illumina NovaSeq 6000 (GPL24676),scRNA-seq,partial,"g_l2stem_003",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209948,"Captures the articular/growth-plate lineage split in humans."
GSE107649,GEO,human,fetal,long bone,growth plate chondrocytes,5,not_applicable,Illumina (GPL11154),bulk RNA-seq + enhancer mapping,no,"g_l8gwas_001; g_l8gwas_002",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107649,"332 cartilage-selective coding genes, 34 lncRNAs, 11,334 chondrocyte-active distal enhancers. Enhancer set is the substrate for testing height-GWAS variant function."
GSE195688,GEO,human + mouse,fetal / in vitro differentiation,limb,chondrocyte lineages,46,not_reported,Illumina (GPL20301/GPL19057/GPL18573),RNA-seq + ChIP/ATAC,no,"g_l8gwas_002; g_l8gwas_001",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195688,"Richard et al. lineage-specific human chondrocyte regulatory networks; paired human/mouse design makes it usable for species-divergence auditing."
GSE122877,GEO,mouse + human,fetal/postnatal,forelimb and hindlimb growth plates; human knee,growth plate chondrocytes,20,not_applicable,Illumina (GPL18573/GPL19057),ChIP-seq epigenetic profiling,partial,"g_l8gwas_001",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122877,"Knee-specific regulatory elements under positive selection in hominin evolution; links limb-site-specific enhancers to OA risk loci."
GSE32398,GEO,human,prepubertal,long bone,articular vs growth plate cartilage,13,not_applicable,Affymetrix (GPL9828),microarray,no,"g_l5matrix_003",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32398,"Whole-plate bulk; useful only for growth-plate versus articular contrasts, not zonal ones."
GSE1277,GEO,human,adolescent (1 donor),distal femur,cultured growth plate chondrocytes,2,not_applicable,Affymetrix (GPL8300),microarray,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1277,"Monolayer-expanded; chondrocytes dedifferentiate in monolayer, so zonal identity is destroyed before assay."
GSE1278,GEO,human,adolescent (3 donors),distal femur,cultured growth plate chondrocytes,3,not_applicable,Affymetrix (GPL8300),microarray,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1278,"Same caveat as GSE1277."
