ref_id,year,first_author,provenance_class,tissue_source,anatomical_site,age_band,n_distinct_donors,n_stated_explicitly,readout,counted_in_postnatal_total,notes
rodriguez1992,1992,Rodriguez JI,postmortem,autopsy (stillbirth and neonatal death),proximal tibia,20-41 weeks gestation,125,yes,quantitative histology,no,"46 stillborns + 79 newborns. Largest human growth-plate histology series ever published, and it is entirely perinatal."
werther1990,1990,Werther GA,postmortem,autopsy (sudden infant death),sternochondral junction,infant,20,yes,GH receptor immunohistochemistry,no,"Sternochondral, not a weight-bearing long-bone physis."
strangevognsen1997,1997,Strange-Vognsen HH,postmortem,autopsy,femur / proximal tibia / humerus,22 weeks gestation to 13 months,12,yes,silver stain + neurofilament IHC,no,"Establishes nerve fibres in cartilage canals."
walzer2014,2014,Walzer SM,surgical waste,polydactyly digit resection,supernumerary digit,6-105 months,23,yes,IHC + confocal + RT-qPCR morphometry,yes,"11 female, 12 male. Largest polydactyly-derived series located."
xie2025,2025,Xie C,surgical waste,amputation (osteosarcoma/trauma) n=6 + polydactyly n=4,long bone,paediatric,10,yes,nanoindentation + EDX + proteomics,yes,"Only human dataset giving a measured modulus gradient across the physeal interfaces."
zoehrer2025,2025,Zoehrer R,surgical waste,polydactyly digit resection,digit,infant,3,yes,ToF-SIMS chemical imaging,yes,"First ToF-SIMS applied to human growth plate."
nilsson2003,2003,Nilsson O,surgical waste,epiphyseal surgery,proximal tibia,Tanner 1-5,24,yes,ER-alpha / ER-beta / AR IHC with per-zone counting,yes,"16 boys + 8 girls. Largest postnatal human growth-plate biopsy series located anywhere."
nilsson1999,1999,Nilsson LO,surgical waste,epiphyseal surgery,tibia and femur,pubertal,4,yes,ER-beta IHC,yes,"All female. Probable cohort overlap with nilsson2003."
egerbacher2002,2002,Egerbacher M,surgical waste,epiphysiodesis for leg-length difference,long bone,2 prepubertal girls + 2 adolescent boys,4,yes,ER-alpha / ER-beta IHC,yes,"Independent (Vienna) cohort."
oz2001,2001,Oz OK,surgical waste,epiphysiodesis,long bone,adolescent,2,yes,RT-PCR + aromatase IHC,yes,"One male, one female."
