group,gene,n_probe_sets,n_probe_sets_detected,gene_detected,compartments_detected,one_donor_only,representative_probe,d1_max_zone,d2_max_zone,concordant,d1_fold_range,d2_fold_range,probe_sets_disagree_on_detection
A:g_l11path_023,DIO1,1,0,0,none,,206457_s_at,PHZ,PZ,1,1.26,1.84,0
A:g_l11path_023,DIO2,5,1,1,RZ;PZ;PC,PHZ;HZ,203700_s_at,RZ,RZ,1,4.61,1.72,1
A:g_l11path_023,DIO3,1,0,0,none,,207154_at,RZ,PZ,1,6.17,4.87,0
A:g_l11path_023,SLC16A10,3,0,0,none,HZ,222939_s_at,HZ,HZ,1,1.88,26.55,0
A:g_l11path_023,SLC16A2,1,0,0,none,PZ,204462_s_at,HZ,PZ,0,2.74,1.42,0
A:g_l11path_023,SLC7A5,1,1,1,RZ;PZ;PHZ;HZ,,201195_s_at,PHZ,PHZ,1,2.53,1.46,0
A:g_l11path_023,SLC7A8,5,2,1,RZ;PZ;PC,PHZ;HZ,216092_s_at,PZ,PHZ,1,1.52,1.4,1
A:g_l11path_023,SLCO1C1,2,0,0,none,PZ;HZ,220460_at,RZ,PZ,1,3.96,1.33,0
A:g_l11path_023,THRA,7,3,1,RZ;PZ;PHZ;HZ;PC,,31637_s_at,PZ,RZ,1,8.5,3.65,1
A:g_l11path_023,THRB,3,2,1,RZ;PZ;PHZ;HZ;PC,,228716_at,HZ,HZ,1,10.83,2.24,1
A:g_l3core_006,PDE10A,3,0,0,none,RZ,205501_at,PHZ,RZ,0,4.33,3.76,0
A:g_l3core_006,PDE11A,4,0,0,none,,224224_s_at,HZ,PHZ,1,4.27,2.87,0
A:g_l3core_006,PDE1A,7,0,0,none,PC,208396_s_at,RZ,PZ,1,7.29,3.68,0
A:g_l3core_006,PDE1B,1,0,0,none,,206444_at,PZ,PHZ,1,6.94,9.74,0
A:g_l3core_006,PDE1C,6,0,0,none,PHZ;HZ;PC,216869_at,HZ,HZ,1,47.98,4.22,0
A:g_l3core_006,PDE2A,1,1,1,RZ;PC,PZ;PHZ;HZ,204134_at,RZ,HZ,0,55.61,2.27,0
A:g_l3core_006,PDE3A,4,1,1,PC,RZ,228507_at,RZ,RZ,1,5.81,2.73,1
A:g_l3core_006,PDE3B,3,0,0,none,PHZ,214582_at,PHZ,PHZ,1,2.18,1.61,0
A:g_l3core_006,PDE4A,5,1,1,RZ;PZ;PHZ;HZ;PC,,204735_at,PZ,PZ,1,1.79,1.56,1
A:g_l3core_006,PDE4B,3,1,1,RZ;PZ;PHZ;HZ,PC,203708_at,PZ,PZ,1,2.41,3.44,1
A:g_l3core_006,PDE4C,4,2,1,RZ;PZ;PHZ;HZ;PC,,206792_x_at,PZ,HZ,0,1.29,1.91,1
A:g_l3core_006,PDE4D,6,1,1,HZ,PZ;PHZ,204491_at,HZ,HZ,1,3.03,2.15,1
A:g_l3core_006,PDE5A,8,0,0,none,PHZ;PC,227088_at,RZ,HZ,0,18.41,21.73,0
A:g_l3core_006,PDE7A,6,1,1,HZ;PC,RZ;PZ;PHZ,1552343_s_at,HZ,HZ,1,22.47,5.81,1
