gene,probe_set,expected_peak,d1_RZ,d1_RZ_det,d1_PZ,d1_PZ_det,d1_PHZ,d1_PHZ_det,d1_HZ,d1_HZ_det,d1_PC,d1_PC_det,d1_max_zone,d1_max_all,d1_fold_range,d2_RZ,d2_RZ_det,d2_PZ,d2_PZ_det,d2_PHZ,d2_PHZ_det,d2_HZ,d2_HZ_det,d2_PC,d2_PC_det,d2_max_zone,d2_max_all,d2_fold_range
COL10A1,205941_s_at,HZ,433.1,0,426.4,0,17076.0,1,72038.9,1,202.3,0,HZ,HZ,168.94,16539.1,1,8789.5,1,35468.8,1,46204.5,1,2416.2,1,HZ,HZ,5.26
COL10A1,217428_s_at,HZ,116.5,0,510.6,0,3828.6,1,18349.0,1,136.6,0,HZ,HZ,157.44,4387.9,1,5094.9,1,10765.6,1,29073.6,1,867.7,1,HZ,HZ,6.63
COL2A1,213492_at,any_cartilage,104438.0,1,92848.1,1,71354.9,1,89442.2,1,77355.9,1,RZ,RZ,1.46,51071.6,1,44606.9,1,53193.7,1,36143.1,1,46065.2,1,PHZ,PHZ,1.47
COL2A1,217404_s_at,any_cartilage,20045.5,1,63236.0,1,70186.9,1,75011.1,1,25736.6,1,HZ,HZ,3.74,48116.4,1,51021.1,1,48486.5,1,43178.4,1,6353.9,1,PZ,PZ,1.18
COL1A1,1556499_s_at,PC,80236.2,1,49077.9,1,40523.0,1,51559.9,1,62202.9,1,RZ,RZ,1.98,42688.2,1,40670.1,1,49485.9,1,33218.4,1,44118.9,1,PHZ,PHZ,1.49
COL1A1,202310_s_at,PC,31264.4,1,9669.5,1,12905.1,1,31071.7,1,34191.9,1,RZ,PC,3.23,65299.4,1,57276.7,1,70831.1,1,46834.7,1,54773.5,1,PHZ,PHZ,1.51
COL1A1,202311_s_at,PC,1302.1,1,661.3,0,480.3,0,751.3,1,2510.9,1,RZ,PC,2.71,12411.2,1,16869.8,1,10382.3,1,19164.7,1,2083.7,1,HZ,HZ,1.85
COL1A1,202312_s_at,PC,264.3,0,124.3,0,119.2,0,251.9,0,60.6,0,RZ,RZ,2.22,256.3,0,212.7,0,321.0,0,194.9,0,224.8,0,PHZ,PHZ,1.65
COL1A1,217430_x_at,PC,989.2,1,1311.6,1,881.6,1,931.2,1,481.1,0,PZ,PZ,1.49,1866.7,1,1362.9,1,2069.9,1,2126.0,1,744.9,1,HZ,HZ,1.56
IBSP,207370_at,HZ,170.3,0,403.4,0,942.2,1,4143.8,1,309.3,0,HZ,HZ,24.33,11011.9,1,12227.3,1,15152.2,1,12921.2,1,534.9,1,PHZ,PHZ,1.38
IBSP,236028_at,HZ,13.7,0,760.2,1,18521.4,1,70753.7,1,218.1,0,HZ,HZ,5156.9,41147.7,1,43082.6,1,40377.2,1,36079.0,1,11158.8,1,PZ,PZ,1.19
SPP1,1568574_x_at,HZ,9.5,0,10.4,0,60.8,0,9.0,0,20.9,0,PHZ,PHZ,6.78,286.8,0,310.8,1,253.6,0,374.4,1,3.6,0,HZ,HZ,1.48
SPP1,209875_s_at,HZ,775.6,0,61.8,0,1709.2,1,1840.3,1,738.5,0,HZ,HZ,29.78,34445.8,1,36547.0,1,36124.3,1,32889.8,1,2327.8,1,PZ,PZ,1.11
MKI67,212020_s_at,none,508.5,0,228.9,0,662.4,1,758.3,1,453.7,0,HZ,HZ,3.31,465.8,1,423.7,1,433.7,1,598.9,1,236.3,0,HZ,HZ,1.41
MKI67,212021_s_at,none,745.1,0,526.5,0,443.9,0,740.8,1,702.4,0,RZ,RZ,1.68,537.6,1,418.7,1,599.4,1,474.1,1,492.1,1,PHZ,PHZ,1.43
MKI67,212022_s_at,none,280.5,0,104.9,0,138.6,0,128.0,0,501.8,0,RZ,PC,2.67,314.7,0,204.8,0,179.8,0,162.2,0,38.9,0,RZ,RZ,1.94
MKI67,212023_s_at,none,586.1,0,875.7,1,640.8,0,250.2,0,248.3,0,PZ,PZ,3.5,802.6,1,1318.3,1,1517.7,1,665.9,1,246.0,0,PHZ,PHZ,2.28
MMP13,205959_at,HZ,150.0,0,67.1,0,381.3,0,254.2,0,77.5,0,PHZ,PHZ,5.68,12283.5,1,12592.0,1,10921.9,1,13700.4,1,71.1,0,HZ,HZ,1.25
SP7,1552340_at,PC,141.9,0,273.7,0,925.8,1,1327.2,1,306.5,0,HZ,HZ,9.35,3254.4,1,2946.4,1,4326.9,1,4757.8,1,153.3,0,HZ,HZ,1.61
