group,gene,probe_set,d1_RZ,d1_RZ_rel,d1_RZ_det,d1_PZ,d1_PZ_rel,d1_PZ_det,d1_PHZ,d1_PHZ_rel,d1_PHZ_det,d1_HZ,d1_HZ_rel,d1_HZ_det,d1_PC,d1_PC_rel,d1_PC_det,d1_max_zone,d1_fold_range,d2_RZ,d2_RZ_rel,d2_RZ_det,d2_PZ,d2_PZ_rel,d2_PZ_det,d2_PHZ,d2_PHZ_rel,d2_PHZ_det,d2_HZ,d2_HZ_rel,d2_HZ_det,d2_PC,d2_PC_rel,d2_PC_det,d2_max_zone,d2_fold_range,concordant_max_zone,same_max_zone,RZ_verdict,PZ_verdict,PHZ_verdict,HZ_verdict,PC_verdict,detected_any_compartment
A:g_l3core_006,PDE1A,1558680_s_at,38.2,0.461,0,52.1,0.629,0,51.3,0.619,0,128.5,1.55,0,144.4,1.742,0,HZ,3.36,37.9,1.45,0,10.1,0.387,0,56.0,2.141,0,16.3,0.625,0,10.4,0.397,0,PHZ,5.53,1,0,not_detected,not_detected,not_detected,not_detected,not_detected,0
A:g_l3core_006,PDE1A,208396_s_at,578.8,2.097,0,110.2,0.399,0,79.3,0.287,0,170.2,0.617,0,441.6,1.6,0,RZ,7.29,102.0,0.253,0,147.4,0.365,0,80.1,0.198,0,40.0,0.099,0,1648.2,4.084,1,PZ,3.68,1,0,not_detected,not_detected,not_detected,not_detected,one_donor_only,0
A:g_l3core_006,PDE1A,231213_at,501.3,1.32,0,76.0,0.2,0,143.9,0.379,0,31.2,0.082,0,1145.9,3.018,1,RZ,16.09,69.7,0.627,0,118.1,1.064,0,106.3,0.958,0,101.5,0.914,0,159.5,1.436,0,PZ,1.7,1,0,not_detected,not_detected,not_detected,not_detected,one_donor_only,0
A:g_l3core_006,PDE1A,233547_x_at,305.6,1.542,0,139.2,0.702,0,89.5,0.452,0,240.6,1.214,0,216.1,1.09,0,RZ,3.41,27.7,0.223,0,35.9,0.289,0,103.8,0.835,0,114.4,0.921,0,339.2,2.731,0,HZ,4.13,0,0,not_detected,not_detected,not_detected,not_detected,not_detected,0
A:g_l3core_006,PDE1A,233549_at,243.1,0.924,0,92.0,0.349,0,464.1,1.763,0,285.4,1.084,0,231.6,0.88,0,PHZ,5.05,112.1,1.247,0,7.9,0.088,0,119.3,1.327,0,184.2,2.05,0,25.9,0.288,0,HZ,23.24,1,0,not_detected,not_detected,not_detected,not_detected,not_detected,0
A:g_l3core_006,PDE1A,236234_at,26.3,0.359,0,102.3,1.399,0,89.6,1.226,0,99.3,1.358,0,48.1,0.658,0,PZ,3.9,68.5,0.972,0,33.5,0.475,0,18.0,0.256,0,11.0,0.156,0,221.2,3.141,0,RZ,6.22,1,0,not_detected,not_detected,not_detected,not_detected,not_detected,0
A:g_l3core_006,PDE1A,242789_at,316.0,1.816,0,102.1,0.587,0,220.1,1.264,0,151.8,0.872,0,80.2,0.461,0,RZ,3.1,97.3,0.927,0,48.9,0.466,0,147.9,1.409,0,107.1,1.02,0,123.6,1.178,0,PHZ,3.02,0,0,not_detected,not_detected,not_detected,not_detected,not_detected,0
A:g_l3core_006,PDE1B,206444_at,57.5,0.397,0,399.7,2.756,0,80.3,0.553,0,125.0,0.862,0,62.5,0.431,0,PZ,6.94,57.0,0.598,0,118.5,1.243,0,205.7,2.158,0,21.1,0.222,0,74.3,0.78,0,PHZ,9.74,1,0,not_detected,not_detected,not_detected,not_detected,not_detected,0
A:g_l3core_006,PDE1C,1554378_a_at,77.7,1.306,0,133.4,2.243,0,20.2,0.339,0,40.4,0.679,0,25.7,0.432,0,PZ,6.61,19.2,0.592,0,52.9,1.631,0,11.1,0.341,0,61.0,1.88,0,18.0,0.556,0,HZ,5.51,0,0,not_detected,not_detected,not_detected,not_detected,not_detected,0
A:g_l3core_006,PDE1C,207303_at,82.9,0.169,0,529.9,1.083,0,560.5,1.145,0,393.3,0.804,0,880.6,1.799,1,PHZ,6.76,82.9,0.622,0,132.7,0.995,0,241.5,1.81,0,136.3,1.022,0,73.5,0.551,0,PHZ,2.91,1,1,not_detected,not_detected,not_detected,not_detected,one_donor_only,0
