dataset,platform,gene,verdict,arrays_detected,arrays_total,n_probes,dataset_status
GSE22855,Illumina HumanWG-6 v3,ACAN,DETECTED,2,2,2,USED
GSE22855,Illumina HumanWG-6 v3,COL10A1,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,COL2A1,DETECTED,2,2,2,USED
GSE22855,Illumina HumanWG-6 v3,CYP19A1,NOT_DETECTED,0,2,3,USED
GSE22855,Illumina HumanWG-6 v3,DIO2,DETECTED,2,2,2,USED
GSE22855,Illumina HumanWG-6 v3,ESR1,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,ESR2,NOT_DETECTED,0,2,2,USED
GSE22855,Illumina HumanWG-6 v3,IHH,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,NPPC,NOT_DETECTED,0,2,2,USED
GSE22855,Illumina HumanWG-6 v3,NPR2,DETECTED,2,2,2,USED
GSE22855,Illumina HumanWG-6 v3,NPR3,NOT_DETECTED,0,2,1,USED
GSE22855,Illumina HumanWG-6 v3,PDE10A,NOT_DETECTED,0,2,2,USED
GSE22855,Illumina HumanWG-6 v3,PDE11A,NOT_DETECTED,0,2,3,USED
GSE22855,Illumina HumanWG-6 v3,PDE1A,DETECTED,2,2,4,USED
GSE22855,Illumina HumanWG-6 v3,PDE1B,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,PDE1C,NOT_DETECTED,0,2,1,USED
GSE22855,Illumina HumanWG-6 v3,PDE2A,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,PDE3A,NOT_DETECTED,1,2,1,USED
GSE22855,Illumina HumanWG-6 v3,PDE3B,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,PDE4A,NOT_DETECTED,0,2,1,USED
GSE22855,Illumina HumanWG-6 v3,PDE4B,DETECTED,2,2,4,USED
GSE22855,Illumina HumanWG-6 v3,PDE4C,DETECTED,2,2,2,USED
GSE22855,Illumina HumanWG-6 v3,PDE5A,DETECTED,2,2,6,USED
GSE22855,Illumina HumanWG-6 v3,PDE9A,DETECTED,2,2,4,USED
GSE22855,Illumina HumanWG-6 v3,SLC16A10,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,SLC16A2,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,SLC7A5,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,SLCO1C1,DETECTED,2,2,2,USED
GSE22855,Illumina HumanWG-6 v3,SOX9,DETECTED,2,2,1,USED
GSE22855,Illumina HumanWG-6 v3,THRA,DETECTED,2,2,3,USED
GSE22855,Illumina HumanWG-6 v3,THRB,NOT_DETECTED,0,2,1,USED
GSE32398,Affymetrix GPL9828,ACAN,DETECTED,5,5,1,USED
GSE32398,Affymetrix GPL9828,COL10A1,DETECTED,5,5,1,USED
GSE32398,Affymetrix GPL9828,COL2A1,DETECTED,5,5,1,USED
GSE32398,Affymetrix GPL9828,CYP19A1,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,DIO2,DETECTED,4,5,1,USED
GSE32398,Affymetrix GPL9828,ESR1,DETECTED,4,5,1,USED
GSE32398,Affymetrix GPL9828,ESR2,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,IHH,NO_PROBE,0,5,0,USED
GSE32398,Affymetrix GPL9828,NPPC,DETECTED,5,5,2,USED
GSE32398,Affymetrix GPL9828,NPR2,DETECTED,3,5,1,USED
GSE32398,Affymetrix GPL9828,NPR3,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,PDE10A,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,PDE11A,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,PDE1A,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,PDE1B,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,PDE1C,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,PDE2A,NOT_DETECTED,2,5,1,USED
GSE32398,Affymetrix GPL9828,PDE3A,NOT_DETECTED,0,5,1,USED
GSE32398,Affymetrix GPL9828,PDE3B,DETECTED,3,5,1,USED
GSE32398,Affymetrix GPL9828,PDE4A,DETECTED,3,5,1,USED
