dataset,platform,gene,array,value,percentile_within_array,p95,p99,med
GSE22855,Illumina HumanWG-6 v3,ACAN,L1142 | Growth Plate,9.624,93.3,1,1,1
GSE22855,Illumina HumanWG-6 v3,ACAN,L1234 | Growth Plate,8.91,89.3,1,1,1
GSE22855,Illumina HumanWG-6 v3,COL10A1,L1142 | Growth Plate,14.533,99.9,1,1,1
GSE22855,Illumina HumanWG-6 v3,COL10A1,L1234 | Growth Plate,13.622,99.6,1,1,1
GSE22855,Illumina HumanWG-6 v3,COL2A1,L1142 | Growth Plate,15.068,100.0,1,1,1
GSE22855,Illumina HumanWG-6 v3,COL2A1,L1234 | Growth Plate,14.563,99.9,1,1,1
GSE22855,Illumina HumanWG-6 v3,CYP19A1,L1142 | Growth Plate,7.283,51.7,0,0,1
GSE22855,Illumina HumanWG-6 v3,CYP19A1,L1234 | Growth Plate,7.237,33.7,0,0,0
GSE22855,Illumina HumanWG-6 v3,DIO2,L1142 | Growth Plate,8.607,87.0,1,1,1
GSE22855,Illumina HumanWG-6 v3,DIO2,L1234 | Growth Plate,8.539,86.4,1,1,1
GSE22855,Illumina HumanWG-6 v3,ESR1,L1142 | Growth Plate,8.052,81.2,1,1,1
GSE22855,Illumina HumanWG-6 v3,ESR1,L1234 | Growth Plate,8.213,83.2,1,1,1
GSE22855,Illumina HumanWG-6 v3,ESR2,L1142 | Growth Plate,7.241,35.9,0,0,0
GSE22855,Illumina HumanWG-6 v3,ESR2,L1234 | Growth Plate,7.256,42.5,0,0,0
GSE22855,Illumina HumanWG-6 v3,IHH,L1142 | Growth Plate,8.682,87.6,1,1,1
GSE22855,Illumina HumanWG-6 v3,IHH,L1234 | Growth Plate,7.938,79.7,1,1,1
GSE22855,Illumina HumanWG-6 v3,NPPC,L1142 | Growth Plate,7.324,59.9,0,0,1
GSE22855,Illumina HumanWG-6 v3,NPPC,L1234 | Growth Plate,7.324,59.9,0,0,1
GSE22855,Illumina HumanWG-6 v3,NPR2,L1142 | Growth Plate,8.388,85.0,1,1,1
GSE22855,Illumina HumanWG-6 v3,NPR2,L1234 | Growth Plate,8.289,84.0,1,1,1
GSE22855,Illumina HumanWG-6 v3,NPR3,L1142 | Growth Plate,7.266,46.5,0,0,0
GSE22855,Illumina HumanWG-6 v3,NPR3,L1234 | Growth Plate,7.249,39.5,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE10A,L1142 | Growth Plate,7.28,51.0,0,0,1
GSE22855,Illumina HumanWG-6 v3,PDE10A,L1234 | Growth Plate,7.262,45.0,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE11A,L1142 | Growth Plate,7.256,42.4,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE11A,L1234 | Growth Plate,7.256,42.6,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE1A,L1142 | Growth Plate,7.732,76.5,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE1A,L1234 | Growth Plate,7.619,74.2,1,0,1
GSE22855,Illumina HumanWG-6 v3,PDE1B,L1142 | Growth Plate,7.48,70.2,1,0,1
GSE22855,Illumina HumanWG-6 v3,PDE1B,L1234 | Growth Plate,7.447,69.0,1,0,1
GSE22855,Illumina HumanWG-6 v3,PDE1C,L1142 | Growth Plate,7.237,33.7,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE1C,L1234 | Growth Plate,7.235,32.8,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE2A,L1142 | Growth Plate,7.999,80.6,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE2A,L1234 | Growth Plate,7.673,75.3,1,0,1
GSE22855,Illumina HumanWG-6 v3,PDE3A,L1142 | Growth Plate,7.37,64.7,1,0,1
GSE22855,Illumina HumanWG-6 v3,PDE3A,L1234 | Growth Plate,7.312,58.1,0,0,1
GSE22855,Illumina HumanWG-6 v3,PDE3B,L1142 | Growth Plate,7.42,67.7,1,0,1
GSE22855,Illumina HumanWG-6 v3,PDE3B,L1234 | Growth Plate,7.833,78.2,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE4A,L1142 | Growth Plate,7.269,47.5,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE4A,L1234 | Growth Plate,7.265,46.2,0,0,0
GSE22855,Illumina HumanWG-6 v3,PDE4B,L1142 | Growth Plate,9.238,91.3,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE4B,L1234 | Growth Plate,8.958,89.6,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE4C,L1142 | Growth Plate,13.493,99.6,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE4C,L1234 | Growth Plate,12.3,99.0,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE5A,L1142 | Growth Plate,9.329,91.8,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE5A,L1234 | Growth Plate,9.124,90.7,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE9A,L1142 | Growth Plate,8.87,89.0,1,1,1
GSE22855,Illumina HumanWG-6 v3,PDE9A,L1234 | Growth Plate,8.476,85.8,1,1,1
GSE22855,Illumina HumanWG-6 v3,SLC16A10,L1142 | Growth Plate,8.291,84.0,1,1,1
GSE22855,Illumina HumanWG-6 v3,SLC16A10,L1234 | Growth Plate,7.939,79.7,1,1,1
GSE22855,Illumina HumanWG-6 v3,SLC16A2,L1142 | Growth Plate,7.668,75.2,1,1,1
