param_id,row_index,layer,node_id,parameter,value,value_min,value_max,unit,conditions,species,site,age,sex,source_ref,uncertainty,value_unverified,superseded_model,notes
p_a5784f0f34,p00001,L0,hox_code_limb,metacarpal bone elongation rate as fraction of proximal tibial rate,49,49.0,49.0,% of tibial rate,"1-week-old C57BL/6 mouse, calcein double labelling",mouse,,,,lui2018,"n=6 per group, mean +/- SEM reported in source S1 Table",False,False,
p_650458d0db,p00002,L0,hox_code_limb,metacarpal chondrocyte proliferation rate per column as fraction of tibial,46,46.0,46.0,% of tibial rate,"1-week-old mouse, BrdU-labelled cells per column",mouse,,,,lui2018,n=6; per-CELL BrdU labelling index did not differ between bones,False,False,
p_14da1f5a23,p00003,L0,hox_code_limb,studies reporting zone-resolved HOX expression within a growth plate,0,0.0,0.0,studies retrieved,"Europe PMC 2026-08-05, query in search log g_l0dev_004",not_applicable,,,,rux2021,"null result of a literature search, not a measurement",True,False,
p_9ad4511453,p00004,L0,hoxa13_gene,"age at epiphyseal fusion, mouse phalanx versus tibia/femur",3 vs >12,,,weeks,"C57BL/6 mouse, Masson trichrome histology; metacarpal fuses at ~4 weeks",mouse,,,,lui2018,12 weeks was the last timepoint studied; tibia and femur still unfused,False,False,
p_70ec0efa57,p00005,L0,mesenchymal_condensation,published measurements of condensation cell number or volume compared across skeletal elements of different final length,0,0.0,0.0,studies retrieved,"Europe PMC 2026-08-05, query in search log g_l0dev_003",not_applicable,,,,lui2018,"null result of a literature search, not a measurement",True,False,
p_d946cb4f80,p00006,L0,secondary_ossification_center,gestational age at which distal femoral ossification centre is first visible on ultrasound,30,30.0,30.0,weeks gestation,199 normal Japanese pregnancies; >1 mm outer-to-outer as presence criterion,human,,,,funaki2020,not visualized before 30 weeks; visualized in 100% after 35 weeks,False,False,
p_3a0800bbd0,p00007,L0,secondary_ossification_center,gestational age at which proximal tibial ossification centre is first visible on ultrasound,33,33.0,33.0,weeks gestation,"same cohort, n=199",human,,,,funaki2020,present in only 73.7% of fetuses at 37 weeks,False,False,
p_85dae0d6f7,p00008,L0,secondary_ossification_center,"chondrocyte death under 1 N load, growth plate without SOC",40,40.0,40.0,% of epiphyseal chondrocytes (propidium iodide+),"P10 rat tibia ex vivo, vertical load, size- and stiffness-matched to P30 mouse",rat,,,,xie2020,n=3; SOC+ mouse tibiae tolerated a load one order of magnitude higher,False,False,
p_de3767531c,p00009,L0,secondary_ossification_center,"epiphyseal cartilage stiffness, vehicle versus axitinib-treated mice",8.1 vs 10.5,,,kPa (nanoindentation),"mice treated P21-P30, live tissue sections",mouse,,,,xie2020,"mean +/- SE, n=6 and n=7, p=0.37 - no significant difference, i.e. the apoptosis effect is not via matrix stiffness",False,False,
p_c5fe04eaa0,p00010,L0,secondary_ossification_center,age at which SOC+ and SOC- rodent tibiae are size- and stiffness-matched,rat P10 vs mouse P30,,,postnatal day,comparison basis for the SOC-/SOC+ ex vivo loading model,multiple,,,,xie2020,authors note confounders cannot be fully excluded,False,False,
p_94e1ca7147,p00011,L10,altitude_hypoxia_growth,altitude of the Tibetan secular trend survey sites,~3600,3600.0,3600.0,m,"Lhasa and surrounding testing sites, Tibet Autonomous Region",human,,,,zhang2026,approximate as reported,False,False,
p_daede3f115,p00012,L10,altitude_hypoxia_growth,"direction of the secular height trend at high altitude, 2005-2019",increase,,,qualitative,"Tibetan school students aged 7-18, four national survey waves",human,,,,zhang2026,significant across most age groups except 16-year-olds; per-age means in the paper,False,False,
p_e1f27c15df,p00013,L10,calcium_intake_growth,"independent effect of milk-mineral (Ca, P) intake on serum IGF-1",none,,,ug/L,"57 boys aged 8 y, 7-day randomised 2x2 factorial, minerals at the level of 1.5 L skim milk",human,,,,hoppe2009,no significant independent effect and no protein x mineral interaction,False,False,
p_834d1bf5cd,p00014,L10,calcium_intake_growth,independent effect of milk-mineral intake on fasting insulin,none,,,pmol/L,same trial,human,,,,hoppe2009,no significant independent effect,False,False,
p_f3b5eda94a,p00015,L10,dohad_hypothesis,"variance in birthweight explained by a birthweight polygenic index, unexposed controls",14,14.0,14.0,%,"Dutch Hunger Winter Families Study, n=161 unexposed controls with obstetric records",human,,,,taeubert2026,"r=0.38, p<0.001",False,False,
p_92fb6e163d,p00016,L10,dohad_hypothesis,correlation of the birthweight polygenic index with birthweight in famine-exposed individuals,0.10,0.1,0.1,Pearson r,"exposed in mid-to-late gestation, n=283",human,,,,taeubert2026,not statistically distinguishable from zero as reported,False,False,
p_217342c1e2,p00017,L10,dutch_hunger_winter,Dutch Hunger Winter Families Study group sizes,283 mid-to-late gestation exposed / 145 early gestation exposed / 161 unexposed controls,,,individuals,with obstetric records and genetic data,human,,,,taeubert2026,not applicable,False,False,
p_755c939466,p00018,L10,dutch_hunger_winter,birthweight variance explained by polygenic index in unexposed controls,14,14.0,14.0,%,Dutch Hunger Winter Families Study,human,,,,taeubert2026,"r=0.38, p<0.001",False,False,
p_f3c25ec770,p00019,L10,dutch_hunger_winter,"adult height deficit 40 years after the 1984-85 Great Ethiopian Famine, vs matched controls",-1.4,-1.4,-1.4,cm,"retrospective cohort of famine survivors exposed at fetal to 18 y, adjusted difference",human,,,,abera2026,95% CI -2.4 to -0.3,False,False,
p_660910f84a,p00020,L10,dutch_hunger_winter,adult height deficit vs post-famine-born controls,-2.4,-2.4,-2.4,cm,"same cohort, second control group born after the famine",human,,,,abera2026,95% CI -3.7 to -1.1,False,False,
p_8f9f5e065d,p00021,L10,endocrine_disrupting_chemicals,odds ratio for delayed puberty in girls per higher mono-benzyl phthalate concentration,2.75,2.75,2.75,odds ratio,"1424 Korean children and adolescents, single-exposure logistic model adjusted for age, BMI, siblings, urban residence and socioeconomic status",human,,,,choe2025,95% CI 1.34-5.66,False,False,
p_7400340d45,p00022,L10,endocrine_disrupting_chemicals,prevalence of precocious puberty in the cohort,3.5,3.5,3.5,%,"50 of 1424 participants, self-measured Tanner staging",human,,,,choe2025,cross-sectional; Tanner staging self-assessed,False,False,
p_06c6a317dc,p00023,L10,endocrine_disrupting_chemicals,prevalence of delayed puberty in the cohort,3.8,3.8,3.8,%,54 of 1424 participants,human,,,,choe2025,cross-sectional; Tanner staging self-assessed,False,False,
p_eec38cc55b,p00024,L10,energy_availability_growth,length-for-age Z gain from small-quantity lipid-based nutrient supplements,0.15,0.15,0.15,z-score,"pooled 15 RCTs, 10 LMICs, n=36970",human,,,,watson2025,95% CI 0.12-0.17,False,False,
p_6234ddbced,p00025,L10,energy_availability_growth,equivalent height-age gain from SQ-LNS,12,12.0,12.0,days,same pooled trials,human,,,,watson2025,95% CI 9-14,False,False,
p_48ad96bc9f,p00026,L10,energy_availability_growth,increase in adult male wages after Atole supplementation through age 2,46,46.0,46.0,%,"INCAP village-randomised trial, Guatemala 1969-1977, followed to 2002-2004",human,,,,martorell2017,as reported in the review; see primary for CI,False,False,
p_b94630eb37,p00027,L10,environmental_enteric_dysfunction,prevalence of elevated EED markers in the cohort,>80,80.0,80.0,%,"Indonesian infants at 6 months of age, faecal myeloperoxidase, alpha-1 antitrypsin and plasma IFABP",human,,,,htet2026,as reported,False,False,
p_933f1e7da8,p00028,L10,environmental_enteric_dysfunction,studies and children in the EED-linear growth systematic review,81 studies / 31996 children,,,count,"children 0-5 years in low- and middle-income countries, literature to 31 December 2024",human,,,,lowe2025,not applicable,False,False,
p_e6855fa0ac,p00029,L10,gut_microbiome_growth,effect of long-term conventionalisation of germ-free mice on longitudinal bone growth,increased,,,qualitative,sexually mature germ-free mice colonised with SPF microbiota; net effect varies with colonisation duration,mouse,,,,yan2016,direction reported; magnitudes in the paper's figures,False,False,
p_80a784b7f7,p00030,L10,gut_microbiome_growth,effect of antibiotic treatment on serum IGF-1 in conventional mice,decreased,,,qualitative,conventionally raised mice; reversed by short-chain fatty acid supplementation,mouse,,,,yan2016,direction reported,False,False,
p_f02977fe94,p00031,L10,infection_burden_growth,serum IGF-1 difference associated with a positive malaria test,-4.7,-4.7,-4.7,ug/L,"740 stunted Ugandan children aged 12-59 months, Tobit regression before inflammation adjustment",human,,,,madigan2026,95% CI -7.8 to -1.6; attenuated after inflammation adjustment,False,False,
p_a8e959879f,p00032,L10,infection_burden_growth,serum IGF-1 sex difference in the same cohort,-11.8,-11.8,-11.8,ug/L,"males versus females, stunted Ugandan children",human,,,,madigan2026,95% CI -14.9 to -8.8,False,False,
p_f8a0c780d2,p00033,L10,inflammation_growth_suppression,"inhibition of IGF-I-driven chondrocyte proliferation by IL-1beta, IL-6 or TNF-alpha",50,50.0,50.0,%,"RCJ3.1C5.18 chondrogenic line; IL-1beta 10 ng/mL, IL-6 100 ng/mL, TNF-alpha 50 ng/mL, co-incubated with IGF-I",in_vitro_animal_cell,,,,choukair2014,baseline proliferation unaltered,False,False,
p_b6234882bb,p00034,L10,inflammation_growth_suppression,attenuation of IGF-I-induced AKT phosphorylation by pro-inflammatory cytokines,30-50,30.0,50.0,%,same cell line and cytokine concentrations,in_vitro_animal_cell,,,,choukair2014,range across the three cytokines,False,False,
p_55dee77639,p00035,L10,inflammation_growth_suppression,attenuation of IGF-I-induced ERK phosphorylation by pro-inflammatory cytokines,50-75,50.0,75.0,%,same cell line and cytokine concentrations,in_vitro_animal_cell,,,,choukair2014,range across the three cytokines,False,False,
p_f865592f62,p00036,L10,inflammation_growth_suppression,reduction in metatarsal growth after 8 days of IL-1beta,71,71.0,71.0,%,postnatal murine metatarsal organ culture,mouse,,,,macrae2006,P<0.05 vs control,False,False,
p_6503d3f1ae,p00037,L10,inflammation_growth_suppression,reduction in metatarsal growth after 8 days of TNF-alpha,45,45.0,45.0,%,postnatal murine metatarsal organ culture,mouse,,,,macrae2006,P<0.05 vs control,False,False,
p_b9fb2e1425,p00038,L10,inflammation_growth_suppression,residual growth deficit after 2-day IL-1beta plus TNF-alpha exposure and 6-day washout,59,59.0,59.0,%,murine metatarsal organ culture; single-cytokine exposures recovered fully,mouse,,,,macrae2006,P<0.01 vs control,False,False,
p_ce80d52689,p00039,L10,inflammation_growth_suppression,adult height deficit after 4-6 years of inhaled budesonide 400 ug/day started at age 5-13,-1.2,-1.2,-1.2,cm,"Childhood Asthma Management Program, adult height measured at 24.9 +/- 2.7 y, 943 of 1041 participants",human,,,,kelly2012,95% CI -1.9 to -0.5; P=0.001,False,False,
p_9473e39f0a,p00040,L10,inflammation_growth_suppression,dose-dependence of the inhaled glucocorticoid height effect,-0.1,-0.1,-0.1,cm per ug/kg/day,daily inhaled glucocorticoid dose in the first 2 years,human,,,,kelly2012,P=0.007,False,False,
p_486cb4cf8f,p00041,L10,intrauterine_growth_restriction,relative risk of short final stature for infants born short (birth length < -2 SDS),7.1,7.1,7.1,relative risk,3650 healthy full-term Swedish singletons followed from birth to final height at ~18 y,human,,,,karlberg1995,95% CI 3.7-13.6,False,False,
p_afccaafe29,p00042,L10,intrauterine_growth_restriction,proportion of short 18-year-olds who were short at birth,22,22.0,22.0,%,same cohort; 14% when SGA is defined by birth weight instead of birth length,human,,,,karlberg1995,not reported,False,False,
p_1267d05b75,p00043,L10,iodine_deficiency_growth,increase in mean birthweight from iodine supplementation of severely iodine-deficient pregnant women,200,200.0,200.0,g,"systematic review of 18 studies (13 RCTs), n=5729 total",human,,,,farebrother2018,mean difference; see review for CI and GRADE rating,False,False,
p_fe1556c7c9,p00044,L10,iodine_deficiency_growth,participants in the three iodine repletion trials with IGF-I endpoints,71 / 310 / 188,,,children,"Morocco (severe, 10 mo iodised salt), Albania (moderate, 6 mo 400 mg iodised oil), South Africa (mild, 6 mo two 200 mg doses)",human,,,,zimmermann2007,not applicable,False,False,
