
=== DOWN with age (proliferative zone, 3->12wk, castrated rats)
  Pnpla3         r=-0.958
  Apeg3          r=-0.957
  Matn1          r=-0.956
  Fgl2           r=-0.951
  Wnt4           r=-0.939
  Sorbs2         r=-0.926
  Cdh22          r=-0.924
  Ctsz           r=-0.924
  Pla2r1         r=-0.923
  Nudt16         r=-0.923
  Slc38a4        r=-0.922
  RGD1561849     r=-0.918
  Stk11ip        r=-0.918
  Pcdh20         r=-0.918
  Arhgef3        r=-0.918
  Pdss2          r=-0.914
  Gnb4           r=-0.914
  Smoc1          r=-0.913
  Barx1          r=-0.909
  Adgrl2         r=-0.905
  Klhl13         r=-0.901
  H19            r=-0.900
  Stbd1          r=-0.900
  Obsl1          r=-0.899
  Igf1r          r=-0.899
  Slc4a3         r=-0.898
  Peg12          r=-0.896
  Zrsr2          r=-0.894
  Tcap           r=-0.892
  Ppp2r2b        r=-0.892
  Nrk            r=-0.891
  Tmem110        r=-0.891
  Enah           r=-0.889
  Slc1a1         r=-0.884
  Srsf11         r=-0.884
  Fibin          r=-0.883
  Usp33          r=-0.883
  Col14a1        r=-0.881
  Mustn1         r=-0.881
  Ndn            r=-0.881

=== UP with age
  Colec12        r=+0.958
  Sdc2           r=+0.954
  Cpq            r=+0.947
  Prickle2       r=+0.938
  Rassf9         r=+0.933
  Slc33a1        r=+0.928
  Reep3          r=+0.926
  Gid4           r=+0.923
  Timp3          r=+0.920
  Nck2           r=+0.920
  Gusb           r=+0.920
  Chmp3          r=+0.917
  Trim72         r=+0.914
  Anxa1          r=+0.912
  Nr3c1          r=+0.909
  Tmem63a        r=+0.908
  Cdkn2c         r=+0.907
  Arsg           r=+0.906
  Vopp1          r=+0.902
  Duox2          r=+0.901
  Hopx           r=+0.901
  Sppl2a         r=+0.900
  Tgfbr2         r=+0.899
  Svil           r=+0.899
  Krt10          r=+0.898
  Spint2         r=+0.897
  Ube2e3         r=+0.893
  Dpy19l1        r=+0.892
  Fxyd2          r=+0.891
  Ntng1          r=+0.890
  LOC100360218// r=+0.889
  Nrep           r=+0.888
  Zbtb4          r=+0.887
  Mmp2           r=+0.884
  Steap1         r=+0.880
  Tmem123        r=+0.879
  Pycard         r=+0.879
  Tm9sf1         r=+0.879
  Htra1          r=+0.878
  Mfsd4          r=+0.877

=== STACK GENES ===
  Ihh       r=-0.870
  Hhip      r=+0.547
  Ptch1     r=+0.121
  Smo       r=-0.333
  Gli1      r=-0.356
  Pthlh     r=+0.640
  Sfrp5     r=+0.659
  Ghr       r=-0.720
  Igf1r     r=-0.899
  Igf1      r=-0.473
  Fgfr3     r=-0.857
  Acan      r=-0.649
  Col2a1    r=-0.738
  Dnmt3a    r=-0.628
  Ezh2      r=-0.577
  Nr1d1     r=+0.708
  Nr3c1     r=+0.909
  Cdkn2c    r=+0.907
  Esr1      r=-0.072
  Rarg      r=-0.614
  Papss2    r=+0.603
  Mki67     r=-0.005
