gene	youth_z
HOXC8	7.6751
SHOX2	6.7561
MEG3	3.4139
PENK	3.2992
MAPT	3.0731
IGF2	2.7639
NGFR	2.7331
KLHL31	2.7326
ARHGEF37	2.7164
GPC3	2.4499
XIRP2	2.4410
PRSS35	2.1759
MAB21L2	2.1435
EYA4	2.1162
KCNQ5	1.9845
CNKSR1	1.8269
PLAG1	1.8076
SLC16A3	1.8001
AVIL	1.7635
NLGN3	1.7424
H19	1.6734
IL17B	1.5705
DIO2	1.5562
SLC16A2	1.5486
PRKG1	1.5218
SCUBE3	1.5211
MSI1	1.4922
CLMN	1.4753
C1QTNF3	1.4685
PLEKHH1	1.4392
HAUS8	1.4200
GPSM1	1.4094
LMCD1	1.3968
SMOC2	1.3878
HR	1.3822
PICK1	1.3470
JPH1	1.3461
SMOC1	1.3428
CTTNBP2	1.3275
RARG	1.3233
SLC39A7	1.2965
SLC2A1	1.2852
SLC35F1	1.2777
PRKCG	1.2383
NOG	1.2199
ZIM1	1.2094
BNIP3	1.2018
CEP131	1.1980
LZTS2	1.1875
GADD45B	1.1753
DACT3	1.1708
MUSTN1	1.1641
ALDOC	1.1498
MYH10	1.1436
SNRNP48	1.1396
ANGPTL1	1.1326
MATN1	1.1313
BMP5	1.1274
PPP1R1B	1.1104
PYGL	1.0990
AK4	1.0969
FOXO4	1.0919
SLC4A3	1.0757
RAB11FIP4	1.0754
HK2	1.0710
IRS2	1.0693
FLNC	1.0669
MAP3K4	1.0565
PPP1R3B	1.0551
TPCN2	1.0541
LSR	1.0496
PPP1R9A	1.0490
CLCN5	1.0449
WNT11	1.0427
WSCD2	1.0427
AIFM2	1.0326
WNT5A	1.0316
ARRDC3	1.0282
PYROXD2	0.9952
TOX	0.9943
DOLPP1	0.9923
GYS1	0.9919
ROR2	0.9908
GTF2IRD1	0.9896
CSTF2T	0.9873
MNS1	0.9781
MATN4	0.9761
PCYT2	0.9744
MDFI	0.9726
WWOX	0.9680
SAMD11	0.9667
DEAF1	0.9642
PRKCD	0.9538
MAP3K5	0.9522
FGFR3	0.9505
PPIF	0.9482
S100B	0.9480
GNGT2	0.9430
LDLR	0.9394
PXYLP1	0.9388
LIMCH1	0.9352
WNT5B	0.9343
MED12	0.9309
SPTBN2	0.9288
ADAMTS14	0.9150
SLC38A3	0.9097
RANBP17	0.9047
TACC2	0.9001
CEP112	0.8996
FBXL14	0.8983
TGFA	0.8978
PHOSPHO1	0.8960
MYH14	0.8925
CNNM2	0.8925
AGBL5	0.8906
SLC1A4	0.8898
SFRP1	0.8849
ME1	0.8815
OMG	0.8764
LSS	0.8711
SIDT2	0.8702
RBM25	0.8696
LEO1	0.8646
PHLDB1	0.8627
AKAP8L	0.8602
USP5	0.8544
ADAMTS3	0.8521
NUMBL	0.8519
PREB	0.8462
STARD13	0.8424
NRBP2	0.8369
VPS37B	0.8360
GET4	0.8356
NGEF	0.8319
TRPV4	0.8309
PRSS53	0.8276
SYNPO2	0.8267
CDC34	0.8263
TENM3	0.8262
TRERF1	0.8243
DHCR24	0.8226
MOV10	0.8221
DIABLO	0.8184
CHSY1	0.8163
AATF	0.8162
NPHP3	0.8093
WWP2	0.8089
DYRK1B	0.8084
TNIK	0.8073
STX2	0.8049
EPYC	0.8044
MEST	0.8016
SCIN	0.8012
MARK4	0.8006
TTC4	0.7960
LAMA5	0.7950
PRPF40B	0.7917
MAP2	0.7888
TBC1D22B	0.7873
GPT2	0.7854
HAS2	0.7847
SBF1	0.7845
MAPRE3	0.7814
RPS6KA5	0.7813
PFKFB3	0.7812
CHD2	0.7796
STK38L	0.7785
LIMS2	0.7756
WSB1	0.7750
KDM4B	0.7739
CLASRP	0.7725
SMARCA1	0.7683
TSC1	0.7679
IHH	0.7618
AHI1	0.7581
ZFAND2A	0.7567
ATG16L1	0.7563
NRK	0.7551
TAF1C	0.7550
VPS33B	0.7527
RPS6KB2	0.7524
PDLIM7	0.7510
PLCD1	0.7493
SCRIB	0.7491
TRPM4	0.7467
CEP85L	0.7442
FRY	0.7437
SPIDR	0.7417
CEP95	0.7415
TRIM47	0.7399
PLEKHH2	0.7390
PEG3	0.7376
LRRC42	0.7374
BDH1	0.7361
MYBL1	0.7338
CLTB	0.7336
MPDU1	0.7307
PFKP	0.7300
PLEKHB1	0.7273
ASCC2	0.7262
ZC3H13	0.7249
AMACR	0.7234
CACFD1	0.7228
GMEB1	0.7224
YIPF2	0.7214
HIGD1A	0.7214
KCNRG	0.7211
ZFYVE27	0.7208
POU6F1	0.7197
SLC4A4	0.7195
NCKAP5L	0.7174
NDRG1	0.7154
PPP1R15A	0.7145
LSG1	0.7145
TRIM39	0.7137
SPACA6	0.7104
REEP1	0.7065
CPXM1	0.7064
BAIAP2L1	0.7055
NFATC2	0.7053
AP2A1	0.7031
CRY2	0.7029
GAN	0.7021
USP28	0.7018
BLCAP	0.6993
ZFP385B	0.6991
GPR157	0.6989
PIEZO1	0.6979
TNK2	0.6970
DHX8	0.6968
LRWD1	0.6967
PDZD2	0.6962
PVR	0.6961
RBPMS2	0.6954
PFKL	0.6953
INPP5E	0.6926
ADAR	0.6918
NPR2	0.6911
AMOTL2	0.6904
PACSIN3	0.6869
ERCC6	0.6868
STK39	0.6865
PLAGL1	0.6857
SLC5A3	0.6820
PPME1	0.6813
ANAPC7	0.6797
IGF1R	0.6795
MEF2D	0.6772
DISP1	0.6771
TBC1D25	0.6762
P4HA2	0.6759
GTF2F1	0.6757
LCAT	0.6744
WNK1	0.6734
CPNE2	0.6731
RPLP1	0.6730
KIF13A	0.6710
FDPS	0.6699
THBS1	0.6694
PLEKHM2	0.6677
DHX38	0.6667
UNC45A	0.6665
CDC14B	0.6654
LRRC1	0.6650
NCOA2	0.6635
P3H2	0.6626
EPS8L2	0.6599
ELL	0.6596
PRPF38B	0.6582
IL18BP	0.6580
MBOAT2	0.6573
ATP9B	0.6571
HTATSF1	0.6556
FURIN	0.6555
HDAC5	0.6538
SFSWAP	0.6533
CWC27	0.6496
CDK11B	0.6484
KCNK5	0.6483
LAS1L	0.6481
CSPG4	0.6473
