nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT04093024,"Lung Diseases, Interstitial",A Study to Find Out How Nintedanib is Taken up in the Body and How Well it is Tolerated in Children and Adolescents With Interstitial Lung Disease (ILD),Nintedanib ; Placebo,placebo,cm,Absolute Change From Baseline in Height at Week 24,,False,False,False,DBP: Randomised to Nintedanib,1.3,,25,DBP: Randomised to Placebo,1.3,13,0.0,,
NCT04093024,"Lung Diseases, Interstitial",A Study to Find Out How Nintedanib is Taken up in the Body and How Well it is Tolerated in Children and Adolescents With Interstitial Lung Disease (ILD),Nintedanib ; Placebo,placebo,cm,Absolute Change From Baseline in Height at Week 52,,False,False,False,DBP+OLNP: Randomised to Nintedanib,2.8,,25,DBP+OLNP: Randomised to Placebo,2.8,13,0.0,,
NCT00109473,Crohn's Disease,Trial of Growth Hormone Therapy in Pediatric Crohn's Disease,growth hormone ; cortecosteroid,active-comparator,cm/yr,Height Velocity,Week 12,False,True,True,Growth Hormone Plus Corticosteroid (CTX),8.0,1.0,10,Corticosteroid (CTX),3.0,10,5.0,,
NCT00109473,Crohn's Disease,Trial of Growth Hormone Therapy in Pediatric Crohn's Disease,growth hormone ; cortecosteroid,active-comparator,cm/yr,Height Velocity,Week 24,False,True,True,Growth Hormone Plus Corticosteroid (CTX),9.0,1.0,10,Corticosteroid (CTX),7.0,10,2.0,,
NCT01778023,Growth Disorder ; Idiopathic Short Stature,Efficacy and Safety of Recombinant Human Growth Hormone on Height Velocity in Subjects With Idiopathic Short Stature,somatropin,placebo,cm/yr,Height Velocity (Ht-V),,True,True,False,Group A: 12-month GH Treatment,12.02,0.29,32,Group B: 6-month Untreated + 6-month GH Treatment,6.87,15,5.15,,
NCT03811535,Growth Hormone Deficiency in Children,A Research Study in Children With a Low Level of Hormone to Grow. Treatment is Somapacitan Once a Week Compared to Norditropin® Once a Day (REAL4),Somapacitan ; Norditropin®,active-comparator,cm/yr,Height Velocity: In-trial Observation Period,,True,True,True,Norditropin,11.8,2.9,68,Somapacitan,11.2,132,0.6,,
NCT03811535,Growth Hormone Deficiency in Children,A Research Study in Children With a Low Level of Hormone to Grow. Treatment is Somapacitan Once a Week Compared to Norditropin® Once a Day (REAL4),Somapacitan ; Norditropin®,active-comparator,cm/yr,Height Velocity: On-treatment Observation Period,,True,True,True,Norditropin,11.8,2.9,68,Somapacitan,11.2,131,0.6,,
NCT01541215,"Diabetes ; Diabetes Mellitus, Type 2","Efficacy and Safety of Liraglutide in Combination With Metformin Compared to Metformin Alone, in Children and Adolescents With Type 2 Diabetes",liraglutide ; placebo ; metformin,placebo,cm/yr,Growth (Height Velocity),,False,False,False,Liraglutide 1.8 mg,1.633,2.016,60,Placebo,2.486,58,-0.853,,
NCT01541215,"Diabetes ; Diabetes Mellitus, Type 2","Efficacy and Safety of Liraglutide in Combination With Metformin Compared to Metformin Alone, in Children and Adolescents With Type 2 Diabetes",liraglutide ; placebo ; metformin,placebo,cm/yr,Growth (Height Velocity),,False,False,False,Liraglutide 1.8 mg,1.345,1.73,56,Placebo,1.817,53,-0.472,,
NCT01500694,Attention Deficit Hyperactivity Disorder (ADHD),Access to Extended Release Guanfacine HCl for Subjects Who Participated in Studies SPD503-315 or SPD503-316 in Europe,"Extended-release Guanfacine HCl (Intuniv, SPD503)",active-comparator,cm,Change From Baseline in Mean Height at Final Assessment,"Change at Final Assessment (n = 128, 79)",False,False,False,SPD503 (6-12 Years),8.8,5.075,131,SPD503 (13-18 Years),5.54,83,3.26,,
