nct,cond,title,ivnames,u,outcome,cat,disp,growthdx,growthdrug,restore,arm,av,an,ref,rv,rn,diff,se,z,p
NCT04093024,"Lung Diseases, Interstitial",A Study to Find Out How Nintedanib is Taken up in the Body and How Well it is To,Nintedanib ; Placebo,cm,Absolute Change From Baseline in Height at Week 24,,95% Confidence Interval,False,False,False,DBP: Randomised to Nintedanib,1.3,25,DBP: Randomised to Placebo,1.3,13,0.0,,,
NCT04093024,"Lung Diseases, Interstitial",A Study to Find Out How Nintedanib is Taken up in the Body and How Well it is To,Nintedanib ; Placebo,cm,Absolute Change From Baseline in Height at Week 52,,95% Confidence Interval,False,False,False,DBP+OLNP: Randomised to Nintedanib,2.8,25,DBP+OLNP: Randomised to Placebo,2.8,13,0.0,,,
NCT01778023,Growth Disorder ; Idiopathic Short Stature,Efficacy and Safety of Recombinant Human Growth Hormone on Height Velocity in Su,somatropin,cm/yr,Height Velocity (Ht-V),,Standard Error,True,True,False,Group A: 12-month GH Treatment,12.02,32,Group B: 6-month Untreated + 6-mont,6.87,15,5.15,0.5187,9.93,0.0
NCT01541215,"Diabetes ; Diabetes Mellitus, Type 2",Efficacy and Safety of Liraglutide in Combination With Metformin Compared to Met,liraglutide ; placebo ; metformin,cm/yr,Growth (Height Velocity),,Standard Deviation,False,False,False,Liraglutide 1.8 mg,1.633,60,Placebo,2.486,58,-0.853,0.4541,-1.878,0.06032
NCT01541215,"Diabetes ; Diabetes Mellitus, Type 2",Efficacy and Safety of Liraglutide in Combination With Metformin Compared to Met,liraglutide ; placebo ; metformin,cm/yr,Growth (Height Velocity),,Standard Deviation,False,False,False,Liraglutide 1.8 mg,1.345,56,Placebo,1.817,53,-0.472,0.3636,-1.298,0.19423
NCT04753697,Eosinophilic Esophagitis,A Study to Evaluate the Efficacy and Safety of CC-93538 in Adult and Adolescent ,CC-93538 ; Placebo,cm,Change From Baseline in Physical Parameters - Height at Week 24,,Standard Deviation,False,False,True,Induction Phase - CC-93538 360 mg QW,0.3,225,Induction Phase - Placebo,-0.08,115,0.38,0.1314,2.891,0.00384
NCT04753697,Eosinophilic Esophagitis,A Study to Evaluate the Efficacy and Safety of CC-93538 in Adult and Adolescent ,CC-93538 ; Placebo,cm,Change From Baseline in Physical Parameters - Height at Week 48,,Standard Deviation,False,False,True,Maintenance Phase - CC-93538 360 mg QW,0.42,88,Maintenance Phase - Placebo,0.12,75,0.3,0.2426,1.237,0.21614
NCT04753697,Eosinophilic Esophagitis,A Study to Evaluate the Efficacy and Safety of CC-93538 in Adult and Adolescent ,CC-93538 ; Placebo,cm,Change From Baseline in Physical Parameters - Height at Week 48,,Standard Deviation,False,False,True,Maintenance Phase - CC-93538 360 mg Q2W,0.42,96,Maintenance Phase - Placebo,0.12,75,0.3,0.2389,1.256,0.2093
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children ,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 12,Standard Deviation,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,0.011,101,Group B: Untreated Control Without ,-0.006,49,0.017,0.0368,0.461,0.64451
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children ,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 24,Standard Deviation,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.04,101,Group B: Untreated Control Without ,-0.071,49,0.031,0.0477,0.65,0.51549
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children ,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 36,Standard Deviation,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.056,101,Group B: Untreated Control Without ,-0.025,49,-0.031,0.0576,-0.538,0.59057
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children ,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 48,Standard Deviation,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.099,101,Group B: Untreated Control Without ,-0.013,49,-0.086,0.0545,-1.579,0.11426
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children ,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],Z,Change From Baseline in Height for Age Z-Score in Groups A and B,FU Week 12,Standard Deviation,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.112,101,Group B: Untreated Control Without ,-0.037,49,-0.075,0.0531,-1.412,0.15793
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children ,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],Z,Change From Baseline in Height for Age Z-Score in Groups A and B,FU Week 24,Standard Deviation,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.117,101,Group B: Untreated Control Without ,-0.079,49,-0.038,0.0587,-0.647,0.51737
NCT04587271,Malnutrition ; Wasting ; Growth Failure,Nutritional Impact of Moringa Oleifera Leaf Supplementation in Mothers and Child,Moringa oleifera (high dose) ; Moringa oleifera (low dose) ; Placebo,cm,Change in Infant Height,,Standard Deviation,True,False,True,Breastfeeding Infants (Moringa),9.1,23,Breastfeeding Infants (Placebo),9.3,23,-0.2,0.5634,-0.355,0.72259
NCT05260021,"Type2 Diabetes ; Diabetes Mellitus ; Diabetes Mellitus, Type",A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Particip,Tirzepatide Dose 1 ; Tirzepatide Dose 2 ; Placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS),,Standard Error,False,False,False,5 mg Tirzepatide,-0.092,29,Placebo,-0.11,34,0.018,0.0378,0.476,0.63373
NCT05260021,"Type2 Diabetes ; Diabetes Mellitus ; Diabetes Mellitus, Type",A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Particip,Tirzepatide Dose 1 ; Tirzepatide Dose 2 ; Placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS),,Standard Error,False,False,False,10 mg Tirzepatide,-0.11,29,Placebo,-0.11,34,0.0,0.0377,0.0,1.0
