# Cysteine supply and vascular-exclusion panels, human growth plate. GSE288028, 4 donors.
# Values = % of cells in which the gene is detected. NOT purity-corrected (see PTPRC, HBB).
# Dropout-dominated; a floor read is 'not resolved above assay floor', not a measured absence.
gene	d1	d2	d3	d4	n_donors	stem	prolif	prehyp	hyper
CBS	0.23	0.05	0.39	0.26	0	0.04	0.42	0.26	0.58
CTH	9.67	3.90	21.97	4.70	4	6.28	14.13	15.26	11.07
SLC7A11	3.74	1.34	1.18	0.52	3	1.15	2.91	3.18	1.08
SLC3A2	13.39	15.68	23.10	18.54	4	14.38	21.39	26.36	18.64
SLC1A4	12.31	9.44	6.73	5.48	4	5.08	11.15	14.01	7.90
SLC1A5	16.41	13.38	47.12	21.41	4	23.83	33.02	36.56	22.73
SLC38A1	40.21	53.83	21.94	17.23	4	15.65	36.21	39.99	31.92
SLC7A5	44.76	19.36	42.03	10.18	4	16.30	40.92	39.72	28.59
SLC6A9	4.14	1.59	7.23	4.18	4	3.19	6.38	8.80	2.91
MAT2A	36.81	32.61	46.99	34.46	4	32.65	46.93	47.19	41.42
MTR	35.24	35.44	30.38	24.28	4	31.17	41.38	37.14	32.76
AHCY	8.86	7.30	33.53	8.09	4	9.24	20.15	23.46	13.38
BHMT	0.04	0.15	0.00	0.00	0	nan	nan	nan	nan
GCLC	12.80	18.66	3.47	9.14	4	11.50	10.67	16.54	9.91
GCLM	14.11	10.18	16.64	13.58	4	11.42	16.91	20.12	14.12
GSS	5.91	6.56	28.38	10.18	4	8.72	19.50	19.73	13.63
GSR	12.43	14.47	16.57	19.06	4	10.15	16.65	21.34	22.20
CDO1	6.57	1.34	7.53	4.18	4	5.64	6.92	6.56	6.61
MPST	4.04	6.37	41.10	19.58	4	8.94	20.17	29.62	22.49
PHGDH	4.12	2.08	29.01	6.01	4	4.65	19.23	14.80	8.82
PSAT1	2.13	1.67	2.25	0.52	3	0.66	2.94	2.29	1.97
SHMT2	5.34	6.72	55.67	12.79	4	11.74	30.80	30.09	19.59
GLDC	2.12	2.72	0.24	2.09	3	2.40	0.94	1.89	3.41
ALDH1L2	18.21	10.74	35.29	19.84	4	18.44	32.57	27.85	25.83
GPX4	13.77	33.97	63.50	44.39	4	35.10	43.12	50.16	43.24
PRDX4	12.71	20.08	81.17	34.20	4	31.16	48.61	51.38	40.57
ERO1A	12.65	18.69	27.01	18.28	4	11.93	22.92	29.14	20.46
ERO1B	38.30	38.22	5.81	10.44	4	22.05	26.63	27.90	21.20
QSOX1	16.58	12.67	61.28	22.98	4	26.44	38.67	42.02	26.80
VKORC1L1	28.42	21.66	32.62	16.45	4	18.73	38.84	34.74	26.48
TXNDC5	20.72	25.59	70.51	36.81	4	30.84	46.98	58.02	39.50
PDIA4	17.96	19.01	77.17	34.99	4	33.69	48.02	51.75	38.63
P4HB	35.98	39.45	95.89	49.09	4	59.93	69.96	64.67	60.06
PTGS2	3.98	5.22	4.08	3.13	4	4.87	3.24	6.64	3.51
CNMD	31.22	23.58	98.79	22.45	4	52.63	67.77	50.84	39.84
TNMD	0.13	0.19	0.03	0.78	0	0.02	0.15	0.56	0.01
TIMP3	25.34	15.12	55.77	43.86	4	29.45	33.32	57.15	31.52
THBS1	31.12	21.73	96.11	44.39	4	66.84	62.12	52.52	54.63
THBS2	19.00	6.11	82.84	20.89	4	39.91	49.84	41.47	31.82
SPARC	58.28	51.41	99.98	76.24	4	83.63	79.59	76.77	75.48
SERPINF1	5.51	13.81	3.15	27.68	4	13.70	3.67	8.11	27.90
VEGFA	13.77	6.18	23.54	13.58	4	12.33	15.21	17.13	20.96
KDR	4.66	4.16	0.70	9.92	3	0.94	3.35	11.80	0.73
PDGFB	6.33	5.96	0.98	10.44	3	3.73	3.70	13.03	2.42
SLIT3	16.41	10.18	8.48	17.75	4	21.21	8.56	14.50	18.81
DLL4	1.76	1.46	0.39	4.70	3	0.37	1.33	6.11	0.31
HIF1A	49.20	36.43	79.77	47.26	4	57.16	69.67	64.11	53.48
EPAS1	38.09	24.47	18.08	51.17	4	39.27	23.30	41.50	36.82
SLC12A2	35.51	24.53	20.23	18.28	4	17.57	29.86	33.26	27.12
AQP1	4.08	3.25	2.03	10.44	4	2.62	3.74	10.46	5.04
COL2A1	88.31	90.65	100.00	52.48	4	98.03	98.69	97.28	97.50
ACAN	44.49	27.12	99.52	24.80	4	61.48	72.79	58.55	48.93
COL10A1	4.48	8.40	94.11	7.31	4	24.63	34.72	28.85	41.53
SFRP5	0.98	2.06	15.43	7.83	3	39.59	2.75	3.08	3.71
MKI67	2.34	1.39	5.87	0.26	3	0.49	15.28	0.92	0.99
NPR2	2.91	2.49	8.68	8.36	4	8.06	6.43	6.64	9.12
FGFR3	23.59	9.71	91.35	26.63	4	43.83	57.55	43.09	40.84
HHIP	16.03	5.65	36.19	7.83	4	22.14	36.40	16.34	13.54
PTPRC	40.72	73.67	0.75	21.15	3	21.30	31.75	28.00	31.59
HBB	1.28	52.07	1.44	8.36	4	15.74	18.67	15.03	15.82
