# Ferroptosis / redox axis in the human growth plate. Source GSE288028, 4 donors (the atlas's own
# query/human_growth_plate_expression*.csv). Values = % of cells in which the gene is detected.
# NOT purity-corrected: see PTPRC and HBB rows. Dropout-dominated statistic, not an expression level.
gene	d1	d2	d3	d4	n_donors	stem	prolif	prehyp	hyper	hyper_over_stem
GPX4	13.77	33.97	63.50	44.39	4	35.10	43.12	50.16	43.24	1.23
GPX6	0.00	0.01	0.00	0.00	0	nan	nan	nan	nan	nan
SLC7A11	3.74	1.34	1.18	0.52	3	1.15	2.91	3.18	1.08	0.94
SLC3A2	13.39	15.68	23.10	18.54	4	14.38	21.39	26.36	18.64	1.30
ACSL4	29.12	26.16	23.49	23.50	4	21.27	32.73	35.64	26.16	1.23
LPCAT3	19.26	14.92	25.04	10.97	4	14.31	27.35	29.30	15.17	1.06
ALOX15	0.19	0.20	0.03	0.00	0	nan	nan	nan	nan	nan
ALOX5	5.65	11.15	0.12	0.26	2	2.53	2.60	8.48	1.70	0.67
AIFM2	3.66	5.04	4.74	2.61	4	4.17	5.18	5.14	3.79	0.91
NFE2L2	57.28	49.68	18.23	28.98	4	42.08	43.88	45.51	38.45	0.91
POR	27.89	18.94	11.50	15.14	4	18.91	20.90	23.08	19.43	1.03
G6PD	2.72	7.14	9.83	6.79	4	4.03	7.60	9.14	7.54	1.87
PGD	11.26	9.12	19.69	12.27	4	10.22	15.31	20.36	12.71	1.24
TKT	14.75	19.15	49.98	21.93	4	15.56	35.62	41.27	25.84	1.66
GSR	12.43	14.47	16.57	19.06	4	10.15	16.65	21.34	22.20	2.19
GCLC	12.80	18.66	3.47	9.14	4	11.50	10.67	16.54	9.91	0.86
GCLM	14.11	10.18	16.64	13.58	4	11.42	16.91	20.12	14.12	1.24
GSS	5.91	6.56	28.38	10.18	4	8.72	19.50	19.73	13.63	1.56
SLC1A5	16.41	13.38	47.12	21.41	4	23.83	33.02	36.56	22.73	0.95
TFRC	30.90	24.06	59.23	19.58	4	28.50	47.47	43.58	32.63	1.14
FTH1	49.31	88.48	94.90	86.42	4	86.13	83.30	84.69	81.47	0.95
FTL	35.69	87.51	95.87	74.15	4	80.51	79.26	79.46	74.53	0.93
NCOA4	18.47	25.98	33.15	29.24	4	26.27	28.82	37.97	28.58	1.09
SLC40A1	16.17	21.96	33.14	34.99	4	43.91	25.97	33.27	22.74	0.52
STEAP3	5.95	1.66	9.37	9.14	4	2.00	6.68	11.85	11.59	5.80
P4HB	35.98	39.45	95.89	49.09	4	59.93	69.96	64.67	60.06	1.00
PDIA3	43.00	52.13	88.84	54.31	4	59.42	73.23	68.48	63.25	1.06
ERO1A	12.65	18.69	27.01	18.28	4	11.93	22.92	29.14	20.46	1.72
ERO1B	38.30	38.22	5.81	10.44	4	22.05	26.63	27.90	21.20	0.96
SELENOS	19.83	22.49	69.05	33.42	4	30.70	47.76	51.40	37.87	1.23
SELENOP	15.34	34.85	21.70	53.00	4	51.34	14.63	34.35	37.76	0.74
SEPHS2	5.10	8.99	16.04	16.97	4	9.65	11.31	18.88	13.58	1.41
TXN	12.97	21.83	62.31	36.03	4	25.87	41.38	49.18	38.63	1.49
TXNRD1	20.23	21.37	13.67	15.14	4	13.10	20.58	24.88	19.90	1.52
PRDX1	22.81	34.78	82.70	44.91	4	44.89	57.80	61.61	47.02	1.05
SOD1	33.47	44.78	82.36	47.00	4	50.62	67.60	61.70	53.97	1.07
SOD2	39.41	38.32	52.43	40.47	4	56.84	49.11	55.12	43.49	0.77
COL2A1	88.31	90.65	100.00	52.48	4	98.03	98.69	97.28	97.50	0.99
ACAN	44.49	27.12	99.52	24.80	4	61.48	72.79	58.55	48.93	0.80
COL10A1	4.48	8.40	94.11	7.31	4	24.63	34.72	28.85	41.53	1.69
IHH	2.10	0.34	33.36	5.48	3	1.11	8.74	25.46	10.39	9.38
MKI67	2.34	1.39	5.87	0.26	3	0.49	15.28	0.92	0.99	2.01
SFRP5	0.98	2.06	15.43	7.83	3	39.59	2.75	3.08	3.71	0.09
FGFR3	23.59	9.71	91.35	26.63	4	43.83	57.55	43.09	40.84	0.93
NPR2	2.91	2.49	8.68	8.36	4	8.06	6.43	6.64	9.12	1.13
HHIP	16.03	5.65	36.19	7.83	4	22.14	36.40	16.34	13.54	0.61
PTPRC	40.72	73.67	0.75	21.15	3	21.30	31.75	28.00	31.59	1.48
HBB	1.28	52.07	1.44	8.36	4	15.74	18.67	15.03	15.82	1.00
