nct,n,child,known_growth_drug,n_growth_reported,intervention,condition,first_reported_growth_outcome,title
NCT01897766,482,True,True,19,Somatropin,Small for Gestational Age (SGA),Change in Height Velocity Standard Deviation (SD) Score for Chronological Age From Baseline At Year 1,"Special Investigation Of Genotropin Long Follow-Up For Patients With A Small For Gestational Age ""Scoped for J"
NCT01927861,51,True,True,19,somatropin,"Genetic Disorder, Noonan Syndrome",Change in Height SDS (Japanese National Reference Data),Investigating the Long-term Efficacy and Safety of Two Doses of NN-220 (Somatropin) in Short Stature Due to No
NCT00174252,57,True,True,17,Genotonorm (Somatropin),Fetal Growth Retardation,Change in Height From Baseline,Study Aimed At Improving Height With Genotonorm In Children Born Little And/Or Light With Growth Retardation A
NCT05723835,47,True,False,16,Somapacitan,"SGA, Turner Syndrome, Noonan Syndrome, ISS",Number of Adverse Events Reported for Idiopathic Short Stature (ISS)- Weeks 0 to 26,A Research Study Looking at How Safe Somapacitan is and How Well it Works in Children Who Need Help to Grow - 
NCT01541215,135,True,False,15,"liraglutide, placebo, metformin","Diabetes, Diabetes Mellitus, Type 2",Change From Baseline in Height SDS,"Efficacy and Safety of Liraglutide in Combination With Metformin Compared to Metformin Alone, in Children and "
NCT00163215,46,True,True,15,Somatropin,Endocrine System Diseases,Change From Baseline in Annual Growth Rate Standard Deviation Score (SDS) for Chronological Age (CA) at Month 36 in Intent-to-Treat (ITT) Population,Growth Retardation In Children With Special Pathological Conditions Or Disease
NCT02055157,35,True,False,15,BMN 111,Achondroplasia,Change From Baseline in Annualized Growth Velocity (AGV) During Initial 6-Month,"A Phase 2 Study of BMN 111 to Evaluate Safety, Tolerability, and Efficacy in Children With Achondroplasia"
NCT00625872,23,True,True,13,"Somatropin, Somatropin","Growth Hormone Therapy, Infant, Small for Gestational Age",Mean Height at Month 6,Neuromuscular Changes In Small For Gestational Age Children During Somatropin Therapy
NCT00163189,98,True,True,12,Somatropin,Growth Hormone Deficiency,Change From Baseline in Height Standard Deviation Score (SDS) for Chronological Age (CA) at Month 36: Full Analysis Population,Evolution Of Growth Rate In Children With Growth Retardation Due to Glucocorticosteroid Therapy And Treated By
NCT04093024,39,True,False,12,"Nintedanib, Placebo","Lung Diseases, Interstitial",Absolute Change From Baseline in Height at Week 24,A Study to Find Out How Nintedanib is Taken up in the Body and How Well it is Tolerated in Children and Adoles
NCT00174460,33,True,True,10,"Somatropin, Control Arm","Growth Hormone Therapy, Infant, Very Low Birth Weight",Change in Height Standard Deviation Score (SDS) After 1 Year,Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age
NCT01073605,208,True,False,9,"Genotonorm, Genotonorm, Genotonorm","Growth Disorders, Intrauterine Growth Retardation",Change From Baseline in Annual Growth Rate Measured at 2 Years Following Treatment With Genotonorm,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation
