nct,outcome_title,unit,param_type,dispersion,arm,class,category,value,spread,ci_lo,ci_hi
NCT00000575,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",cm,MEAN,Standard Deviation,1 Budesonide,,,22.7,5.4,,
NCT00000575,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",cm,MEAN,Standard Deviation,2 Nedocromil,,,23.7,5.4,,
NCT00000575,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",cm,MEAN,Standard Deviation,3 Placebo,,,23.8,5.4,,
NCT00001305,Proportion of Subjects Who Met Criteria of Increase in Growth Rate Since Baseline.,Participants,COUNT_OF_PARTICIPANTS,,Growth Hormone,,,25,,,
NCT00001521,Adult Height Relative to General Population,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,,,-0.34,0.93,,
NCT00001521,Adult Height Relative to General Population,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,,,-0.6,0.89,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Overall Participants,,-0.45,0.85,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Overall Participants,,-0.83,0.78,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Males,,-0.89,0.75,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Males,,-0.93,0.78,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Females,,-0.02,0.72,,
NCT00001521,Adult Height Relative to Mid-parental Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Females,,-0.67,0.79,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline,,-2.0,1.5,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline,,-2.1,1.5,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset,,-0.46,0.97,,
NCT00001521,Predicted Adult Height,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Pubertal onset,,-0.98,1.01,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline to pubertal onset visit,,1.93,1.29,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline to pubertal onset visit,,1.10,1.32,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset to final visit,,-0.10,0.66,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Pubertal onset to final visit,,0.14,0.54,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline to final visit,,1.64,1.23,,
NCT00001521,Predicted Adult Height Change,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline to final visit,,1.20,1.27,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Investigational Therapy,Baseline to pubertal onset visit,,3.86,2.13,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Standard Therapy,Baseline to pubertal onset visit,,2.78,2.43,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset to final visit,,0.39,0.68,,
NCT00001521,Number of Years Bone Age Remained Unchanged,Years,MEAN,Standard Deviation,Standard Therapy,Pubertal onset to final visit,,0.70,0.73,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Baseline to pubertal onset,,-1.01,1.84,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Baseline to pubertal onset,,-0.34,2.18,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Investigational Therapy,Pubertal onset to adult height,,0.65,1.42,,
NCT00001521,Average Annual Growth Velocity,Standard Deviation Score (SDS) units,MEAN,Standard Deviation,Standard Therapy,Pubertal onset to adult height,,-0.29,1.34,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Height percentile, baseline",,30.1,5.5,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Height percentile, on treatment",,44.0,6.1,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Weight percentile, baseline",,21.3,3.7,,
NCT00007020,Height and Weight,Percentile,MEAN,Standard Error,Cholic Acid,"Weight percentile, on treatment",,42.3,4.8,,
NCT00069576,"Number of Children at 5-10 Year Follow up With Hypertension ≥ 95th Percentile for Age, Sex and Height",Participants,COUNT_OF_PARTICIPANTS,,Nutritional Counseling & Self Blood Glucose Monitoring,,,30,,,
NCT00069576,"Number of Children at 5-10 Year Follow up With Hypertension ≥ 95th Percentile for Age, Sex and Height",Participants,COUNT_OF_PARTICIPANTS,,No Treatment,,,23,,,
NCT00094328,Change in Growth Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-1.62,5.13,,
NCT00094328,Change in Growth Rate (SD Units),SD units,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-0.07,1.78,,
NCT00094328,Change in Growth Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-0.70,5.77,,
NCT00094328,Change in Growth Rate (SD Units),SD units,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,-0.14,1.67,,
NCT00094328,Change in Bone Age Maturation Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 6 months treatment,,-2.03,0.38,,
NCT00094328,Change in Bone Age Maturation Rate (cm/Year),cm/year,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 12 months treatment,,-2.29,0.51,,
NCT00094328,Change in Bone Age to Chronological Age Ratio,Ratio,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 6 months treatment,,-0.09,0.14,,
NCT00094328,Change in Bone Age to Chronological Age Ratio,Ratio,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,After 12 months treatment,,-0.24,0.18,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 3 months treatment,,3,,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 6 months treatment,,3,,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 9 months treatment,,3,,,
NCT00094328,Number of Patients With Height Between 5th and 95th Percentile,Participants,NUMBER,,Open Label Bicalutamide With Anastrozole,After 12 months treatment,,3,,,
NCT00094328,Change in Predicted Adult Height (PAH),cm,MEAN,Standard Deviation,Open Label Bicalutamide With Anastrozole,,,6.21,3.93,,
