gene,core_tall,n_terms,n_diseases,terms,diseases
HERC1,True,4,2,Disproportionate tall stature; Overgrowth; Slender build; Tall stature,OMIM:617011; ORPHA:457359
AKT1,True,3,1,Disproportionate tall stature; Overgrowth; Tall stature,ORPHA:744
BMP4,True,3,1,Disproportionate tall stature; Slender build; Tall stature,ORPHA:828
DNMT3A,True,3,2,Overgrowth; Proportionate tall stature; Tall stature,OMIM:615879; ORPHA:404443
FBN2,True,3,2,Disproportionate tall stature; Slender build; Tall stature,OMIM:121050; ORPHA:115
FIBP,True,3,2,Overgrowth; Proportionate tall stature; Tall stature,OMIM:617107; ORPHA:500095
GPC3,True,3,2,Birth length greater than 97th percentile; Overgrowth; Tall stature,OMIM:312870; ORPHA:373
KDM6B,True,3,1,Overgrowth; Proportionate tall stature; Tall stature,OMIM:618505
MED12,True,3,3,Disproportionate tall stature; Slender build; Tall stature,OMIM:309520; ORPHA:776; ORPHA:93932
NF1,True,3,2,Overgrowth; Proportionate tall stature; Tall stature,OMIM:162200; ORPHA:363700
PIGA,True,3,2,Birth length greater than 97th percentile; Overgrowth; Tall stature,OMIM:300868; OMIM:301072
SUZ12,True,3,2,Birth length greater than 97th percentile; Overgrowth; Tall stature,OMIM:618786; ORPHA:3447
UPF3B,True,3,2,Disproportionate tall stature; Slender build; Tall stature,OMIM:300676; ORPHA:776
ACTA1,True,2,2,Slender build; Tall stature,OMIM:161800; ORPHA:171439
AIP,True,2,1,Proportionate tall stature; Tall stature,ORPHA:99725
ARHGEF9,True,2,1,Overgrowth; Tall stature,OMIM:300607
ASXL3,True,2,2,Disproportionate tall stature; Tall stature,OMIM:615485; ORPHA:352577
ATP6V1A,True,2,1,Disproportionate tall stature; Tall stature,OMIM:617403
ATP6V1E1,True,2,1,Disproportionate tall stature; Tall stature,OMIM:617402
CAMK2A,True,2,1,Overgrowth; Tall stature,OMIM:617798
CBS,True,2,2,Disproportionate tall stature; Tall stature,OMIM:236200; ORPHA:394
CDKN1B,True,2,1,Proportionate tall stature; Tall stature,ORPHA:652
CDKN1C,True,2,1,Overgrowth; Tall stature,OMIM:130650
CDKN2B,True,2,1,Proportionate tall stature; Tall stature,ORPHA:652
CHST14,True,2,1,Disproportionate tall stature; Tall stature,ORPHA:2953
CIC,True,2,1,Slender build; Tall stature,OMIM:617600
COL1A2,True,2,1,Disproportionate tall stature; Tall stature,ORPHA:230851
COL2A1,True,2,1,Disproportionate tall stature; Tall stature,OMIM:108300
COL6A1,True,2,1,Slender build; Tall stature,OMIM:254090
CPLX1,True,2,1,Disproportionate tall stature; Tall stature,ORPHA:280
CTBP1,True,2,1,Disproportionate tall stature; Tall stature,ORPHA:280
CYP19A1,True,2,2,Mild short stature; Tall stature,ORPHA:178345; ORPHA:91
DICER1,True,2,1,Overgrowth; Tall stature,OMIM:618272
DLG4,True,2,1,Disproportionate tall stature; Tall stature,OMIM:618793
DLK1,True,2,2,Overgrowth; Tall stature,ORPHA:254534; ORPHA:96334
DNA2,True,2,2,Slender build; Tall stature,OMIM:615156; ORPHA:352470
