nct,duration_class,velocity_class,both,child,adult_height_endpoint,has_results,n,minage,maxage,status,start,sponsor,intervention,condition,title
NCT03811509,,,False,False,False,False,1000,40 Years,80 Years,UNKNOWN,2016-01-01,Parc de Salut Mar,bisphosphonate,"Osteoporosis, Osteoporosis Fracture, Arthralgia Generalized",Breast Cancer Women on Aromatase Inhibitors Treatment
NCT02684032,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,141,18 Years,,COMPLETED,2016-06-14,Celcuity Inc,"Gedatolisib, Palbociclib, Letrozole, Fulvestrant",Breast Cancer,A Study To Assess The Tolerability And Clinical Activity Of Gedatolisib In Combination With Palbociclib/Letrozole Or Pal
NCT00247663,aromatase_inhibitor,,False,False,False,False,17,20 Years,74 Years,COMPLETED,1999-12,Novartis Pharmaceuticals,Letrozole,Postmenopausal Women With Advanced Breast Cancer,Extension Study of 1.0mg Dose Letrozole Therapy in Postmenopausal Patients With Breast Cancer
NCT01589367,aromatase_inhibitor,,False,False,False,False,208,18 Years,80 Years,COMPLETED,2012-05,Seoul National University Hospital,"Metformin, Placebo",Hormone Receptor Positive Malignant Neoplasm of Breast,Neoadjuvant Letrozole Plus Metformin vs Letrozole Plus Placebo for ER-positive Postmenopausal Breast Cancer
NCT00790816,,,False,False,False,False,500,18 Years,,COMPLETED,2008-10,Novartis Pharmaceuticals,"Lapatinib in combination with an anti-cancer agent, Lapatinib, Lapatinib in combination with an anti-cancer agent as spe","Neoplasms, Breast",Continuation Study of Lapatinib Monotherapy or Lapatinib in Combination With Other Anti-cancer Agents
NCT00611715,aromatase_inhibitor,,False,False,False,True,48,18 Years,,TERMINATED,2003-11,Vanderbilt-Ingram Cancer Center,"erlotinib hydrochloride, letrozole, fluorescence in situ hybridization, immunohistochemistry staining method, laboratory",Breast Cancer,"Ph II Letrozole + OSI-774 (Tarceva) in Post-menopausal, w/ ER and/or PR-positive Met Breast Cancer."
NCT06793904,aromatase_inhibitor,,False,False,False,False,122,18 Years,35 Years,RECRUITING,2025-02-01,Cairo University,Aromatase inhibitor Letrozole,Polycystic Ovarian Syndrome (PCOS),Comparative Study Between HOMA1-IR and HOMA2-IR in Prediction of Ovulation Outcome in Women With PCOS
NCT04931342,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,176,18 Years,,ACTIVE_NOT_RECRUITING,2021-10-07,Hoffmann-La Roche,"Ipatasertib, Cobimetinib, Trastuzumab Emtansine, Atezolizumab, Bevacizumab, Paclitaxel, Giredestrant, Abemaciclib, Inavo",Ovarian Cancer,A Study Evaluating the Efficacy and Safety of Biomarker-Driven Therapies in Patients With Persistent or Recurrent Rare E
NCT06656624,,,False,False,False,False,190,18 Years,99 Years,RECRUITING,2024-08-13,The First Affiliated Hospital with Nanji,"Ribociclib combined with AI±OFS, physician's choice of chemotherapy sequential Ribociclib combined with AI±OFS",Advanced Breast Cancer,Efficacy and Safety of Ribociclib Combined With AI Versus Physician&Amp;#39;s Choice of Chemotherapy Sequential Endocrin
NCT03439046,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,287,18 Years,,TERMINATED,2018-02-02,Novartis Pharmaceuticals,"Ribociclib, Letrozole, Alpelisib, Fulvestrant",Breast Cancer,Study of the Molecular Features of Postmenopausal Women With HR+ HER2-negative aBC on First-line Treatment With Ribocicl
