gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
AL627309.1,2.97,1.96,0.00,0.00,3.33,1.99,0.56,2.17,2.47,0.54,0.00,1.34,1.59,0.27,1.96
AL627309.5,1.49,2.57,1.49,0.00,8.15,3.05,2.23,4.45,2.49,1.97,6.45,3.57,2.18,1.57,1.96
LINC01409,18.96,9.82,12.30,11.36,27.29,12.66,14.23,22.39,11.43,15.05,14.52,19.42,9.92,11.09,21.57
FAM87B,0.37,0.12,0.11,0.00,0.00,0.00,0.04,0.11,0.12,0.30,0.00,0.22,0.17,0.25,1.96
LINC01128,11.15,6.07,4.94,2.27,13.64,9.50,6.52,12.12,7.34,9.68,14.52,13.39,6.78,4.85,19.61
LINC00115,1.12,1.06,0.92,0.00,1.50,0.35,0.64,1.59,0.87,0.54,1.61,0.45,0.63,0.45,0.00
FAM41C,0.37,0.57,0.46,0.00,0.83,0.70,0.91,0.58,0.63,1.25,1.61,0.22,0.59,0.82,5.88
AL645608.6,3.72,2.40,0.00,0.00,1.00,0.23,0.08,1.43,0.27,0.00,0.00,3.79,0.84,0.00,0.00
AL645608.2,2.23,1.47,0.69,2.27,0.67,0.23,0.56,0.85,0.27,0.54,0.00,3.12,0.21,0.65,1.96
LINC02593,2.60,2.28,2.07,2.27,2.16,0.59,2.15,1.27,0.36,1.31,0.00,2.01,1.09,1.22,11.76
SAMD11,10.04,5.17,1.95,2.27,4.33,1.88,1.99,5.40,1.21,2.57,4.84,5.13,2.14,1.82,15.69
NOC2L,6.69,12.02,14.48,13.64,16.47,14.30,32.37,12.12,11.89,40.92,35.48,6.92,11.10,27.18,25.49
KLHL17,1.12,2.32,2.76,2.27,1.33,2.58,6.04,1.06,2.20,8.24,4.84,1.12,2.51,5.32,7.84
PLEKHN1,1.12,0.90,0.46,2.27,2.50,1.41,2.39,2.44,1.50,2.45,1.61,3.57,1.34,1.59,1.96
PERM1,0.37,0.45,0.23,0.00,0.17,0.12,0.64,0.53,0.22,1.91,0.00,0.00,0.21,0.75,0.00
AL645608.7,1.49,1.06,0.80,0.00,0.50,0.59,0.04,1.16,0.80,0.36,3.23,1.34,0.29,0.10,0.00
HES4,9.67,12.14,4.14,6.82,2.33,3.63,1.31,5.51,5.30,1.85,27.42,2.46,4.36,1.99,9.80
ISG15,4.83,27.82,2.18,2.27,3.16,26.73,1.11,6.35,33.49,1.61,22.58,5.58,26.38,1.37,3.92
AGRN,2.60,4.07,3.22,4.55,4.99,3.05,8.79,4.82,4.07,9.62,9.68,2.68,2.72,7.11,13.73
C1orf159,10.78,11.69,3.68,2.27,21.46,11.02,8.11,12.44,12.42,8.66,9.68,10.04,8.17,5.94,9.80
AL390719.3,0.74,0.98,0.00,0.00,1.00,1.17,0.00,0.58,1.36,0.00,0.00,0.00,0.84,0.00,0.00
LINC01342,0.00,0.08,0.00,0.00,0.17,0.47,0.00,0.58,1.09,0.00,0.00,0.00,0.25,0.02,0.00
TTLL10-AS1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.05,0.10,0.00,1.61,0.00,0.00,0.05,0.00
TTLL10,0.37,0.65,0.00,0.00,0.33,0.82,0.08,0.48,1.60,0.06,1.61,0.45,0.59,0.07,1.96
TNFRSF18,2.60,3.54,5.98,0.00,2.83,5.98,3.94,1.69,7.19,2.09,4.84,1.34,3.94,3.28,0.00
TNFRSF4,1.12,2.57,4.71,0.00,1.16,4.57,3.82,0.95,4.72,4.12,14.52,0.67,3.06,3.81,0.00
SDF4,16.73,27.33,56.44,40.91,29.78,34.82,78.13,20.06,26.73,89.67,67.74,13.39,22.91,67.15,58.82
B3GALT6,4.46,4.52,10.00,11.36,3.83,5.86,21.31,3.34,5.18,25.99,24.19,2.46,3.60,15.20,11.76
C1QTNF12,0.00,0.24,0.57,2.27,0.00,0.35,0.24,0.05,0.22,0.42,1.61,0.00,0.17,0.57,0.00
UBE2J2,19.33,14.58,13.56,11.36,24.46,19.46,31.93,16.36,15.74,39.01,24.19,13.39,13.99,25.22,29.41
LINC01786,1.12,0.81,0.00,0.00,2.33,1.17,0.08,1.48,0.36,0.06,0.00,0.67,0.50,0.07,0.00
SCNN1D,1.49,1.75,2.18,4.55,2.00,1.76,2.58,0.74,0.99,3.46,0.00,1.34,0.96,3.83,1.96
ACAP3,13.38,9.78,9.54,6.82,15.97,7.97,23.90,11.49,10.41,24.67,11.29,9.82,6.66,18.10,13.73
PUSL1,1.12,1.75,3.91,2.27,1.83,3.05,13.12,1.32,2.06,14.28,11.29,0.22,1.84,7.39,5.88
INTS11,8.92,14.54,19.31,9.09,18.47,20.75,35.59,12.71,14.62,42.47,37.10,10.71,14.07,28.48,41.18
AL139287.1,0.00,0.04,0.00,2.27,0.17,0.00,0.00,0.11,0.02,0.18,0.00,0.00,0.04,0.00,0.00
CPTP,2.23,2.81,6.90,13.64,1.33,5.04,11.33,1.22,4.75,13.26,19.35,1.34,2.81,8.98,5.88
TAS1R3,0.00,0.24,1.15,0.00,0.00,0.59,0.32,0.42,1.99,0.30,0.00,0.00,0.25,0.35,0.00
DVL1,7.81,8.35,24.60,29.55,8.99,8.68,29.82,6.56,6.39,35.48,48.39,6.70,5.36,24.25,35.29
