gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
AL627309.1,1.91,1.94,0.37,0.78,2
AL627309.3,0.00,0.02,0.01,0.00,0
AL627309.2,0.04,0.00,0.00,0.00,0
AL627309.5,3.78,2.33,1.82,1.83,4
AL627309.4,0.02,0.15,0.00,0.00,0
AP006222.2,0.00,0.03,0.00,0.00,0
AC114498.1,0.00,0.01,0.00,0.00,0
AL669831.2,0.00,0.12,0.01,0.00,0
LINC01409,18.58,9.85,12.78,7.83,4
FAM87B,0.09,0.14,0.19,0.26,0
LINC01128,10.97,6.85,6.20,7.83,4
LINC00115,1.15,0.77,0.57,0.52,1
FAM41C,0.42,0.56,0.89,2.61,1
AL645608.6,1.44,0.75,0.02,0.26,1
AL645608.2,0.91,0.43,0.60,1.31,1
AL645608.4,0.13,0.09,0.08,0.00,0
LINC02593,1.21,0.88,1.57,2.87,3
SAMD11,4.02,2.09,2.01,5.22,4
NOC2L,9.27,11.14,29.87,17.49,4
KLHL17,0.85,2.22,5.80,2.61,3
PLEKHN1,2.02,1.26,1.85,1.31,4
PERM1,0.32,0.21,0.88,0.00,0
AL645608.7,0.96,0.61,0.20,0.52,0
HES4,3.81,5.63,1.99,14.36,4
ISG15,5.50,28.92,1.43,9.14,4
AL645608.1,0.08,0.15,0.00,0.00,0
AGRN,3.15,3.34,7.65,6.79,4
AL645608.8,0.00,0.00,0.01,0.00,0
RNF223,0.02,0.02,0.09,0.00,0
C1orf159,11.31,10.39,6.82,5.48,4
AL390719.3,0.42,1.05,0.00,0.00,1
LINC01342,0.25,0.49,0.01,0.00,0
AL390719.2,0.00,0.01,0.05,0.00,0
TTLL10-AS1,0.02,0.05,0.02,0.26,0
TTLL10,0.36,0.95,0.07,0.52,0
TNFRSF18,2.38,5.30,3.50,2.61,4
TNFRSF4,0.94,3.59,3.94,3.39,3
SDF4,16.73,24.99,73.15,37.08,4
B3GALT6,2.53,4.31,18.33,10.18,4
C1QTNF12,0.04,0.19,0.45,0.52,0
AL162741.1,0.11,0.06,0.15,0.00,0
UBE2J2,14.92,14.76,28.41,15.14,4
LINC01786,1.15,0.53,0.07,0.00,1
SCNN1D,0.85,1.11,3.25,1.31,3
ACAP3,9.97,8.40,20.03,7.05,4
PUSL1,0.94,1.89,9.87,4.96,3
INTS11,10.44,14.27,32.08,18.02,4
AL139287.1,0.09,0.02,0.03,0.26,0
CPTP,1.11,3.49,10.18,7.83,4
TAS1R3,0.15,0.81,0.42,0.00,0
DVL1,5.44,6.08,27.81,23.24,4
MXRA8,8.03,13.76,33.06,37.34,4
AURKAIP1,9.25,20.17,64.86,33.68,4
CCNL2,34.01,31.52,54.99,36.03,4
MRPL20-AS1,1.13,2.34,5.94,3.39,4
MRPL20,13.24,25.54,55.41,40.21,4
AL391244.2,0.43,0.37,0.72,0.52,0
ANKRD65,1.17,1.07,11.38,8.62,4
AL391244.1,0.00,0.01,0.01,0.00,0
TMEM88B,0.02,0.00,0.00,0.00,0
LINC01770,0.11,0.02,0.12,0.00,0
