gene,best_assoc_score,n_overgrowth_terms,top_terms,gp_donors_detected,in_atlas,n_known_drugs,max_phase,example_drugs,direction,mechanism_class
FBN1,0.9003,19,Marfan syndrome(0.9); Marfan and Marfan-related disorder(0.9); progeroid and marfanoid aspect-lipodystrophy syndrome(0.785),4,,0,,,UNRESOLVED,connective_tissue_DISPUTED
TGFBR2,0.8829,6,Marfan and Marfan-related disorder(0.883); Marfan syndrome(0.758); Marfan syndrome type 2(0.676),4,,0,,,UNRESOLVED,connective_tissue_DISPUTED
PIK3CA,0.8786,7,overgrowth syndrome(0.879); PIK3CA-related overgrowth spectrum(0.866); overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes(0.86),4,,32,APPROVAL,COPANLISIB [PI3-kinase p110-alpha subunit inhibitor] phAPPROVAL; COPANLISIB HYDROCHLORIDE [PI3-kinase p110-alpha subunit inhibitor] phAPPROVAL; ALPELISIB [PI3-kinase p110-alpha subunit inhibitor] phAPPROVAL; INAVOLISIB [PI3-kinase p110-alpha subunit inhibitor] phAPPROVAL,UNRESOLVED,pi3k_mtor_segmental
KCNJ11,0.8706,1,overgrowth syndrome(0.871),1,,,,,UNRESOLVED,
TGFBR1,0.8664,7,Marfan and Marfan-related disorder(0.866); Marfan syndrome(0.522); Marfan syndrome type 2(0.38),4,,2,PHASE_2_3,GALUNISERTIB [TGF-beta receptor type I inhibitor] phPHASE_2_3; VACTOSERTIB [TGF-beta receptor type I inhibitor] phPHASE_2,UNRESOLVED,connective_tissue_DISPUTED
SMAD3,0.8582,6,Marfan and Marfan-related disorder(0.858); marfan syndrome/loeys-dietz syndrome/familial thoracic aortic aneurysms and dissections(0.381); Tall stature - scoliosis - macrodactyly of the great toes(0.047),4,smad2_3,0,,,UNRESOLVED,
FBN2,0.8559,11,Marfan and Marfan-related disorder(0.856); Marfan syndrome(0.333); 15q overgrowth syndrome(0.057),3,,0,,,UNRESOLVED,
SKI,0.8523,14,Marfan and Marfan-related disorder(0.852); Disproportionate tall stature(0.309); Tall stature(0.309),4,,0,,,UNRESOLVED,connective_tissue_DISPUTED
CDKN1C,0.8508,9,overgrowth syndrome(0.851); Beckwith-Wiedemann syndrome(0.848); Genetic overgrowth/obesity syndrome(0.381),4,,0,,,UNRESOLVED,imprinted_locus
NSD1,0.8465,7,Sotos syndrome(0.847); overgrowth syndrome(0.763); Beckwith-Wiedemann syndrome(0.746),4,,0,,,UNRESOLVED,chromatin_syndromic
NFIX,0.8457,14,overgrowth syndrome(0.846); Malan overgrowth syndrome(0.815); overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes(0.069),4,,0,,,UNRESOLVED,chromatin_syndromic
MTOR,0.8447,4,overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes(0.845); overgrowth syndrome(0.313); Tall stature(0.004),4,,26,APPROVAL,"PERHEXILINE [Carnitine O-palmitoyltransferase 1, muscle isoform inhibitor] phAPPROVAL; RIDAFOROLIMUS [Serine/threonine-protein kinase mTOR inhibitor] phAPPROVAL; DS-7423 [Serine/threonine-protein kinase mTOR inhibitor] phPHASE_1; CC-115 [DNA-dependent protein kinase inhibitor] phPHASE_2",UNRESOLVED,pi3k_mtor_segmental
DNMT3A,0.8441,2,Tatton-Brown-Rahman overgrowth syndrome(0.844); Weaver syndrome(0.044),4,,2,APPROVAL,AZACITIDINE [DNA (cytosine-5)-methyltransferase 1 inhibitor] phAPPROVAL; DECITABINE [DNA (cytosine-5)-methyltransferase 1 inhibitor] phAPPROVAL,UNRESOLVED,chromatin_syndromic
AKT3,0.8385,5,overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes(0.839); overgrowth syndrome(0.826); PIK3CA-related overgrowth spectrum(0.825),4,,13,APPROVAL,CAPIVASERTIB [Serine/threonine-protein kinase AKT inhibitor] phAPPROVAL; XL-418 [Serine/threonine-protein kinase AKT inhibitor] phPHASE_1; MK-2206 [Serine/threonine-protein kinase AKT inhibitor] phPHASE_2; UPROSERTIB [Serine/threonine-protein kinase AKT inhibitor] phPHASE_2,UNRESOLVED,pi3k_mtor_segmental
EZH2,0.8372,6,overgrowth syndrome(0.837); Weaver syndrome(0.837); Tall stature - scoliosis - macrodactyly of the great toes(0.044),4,,3,APPROVAL,TAZEMETOSTAT [Histone-lysine N-methyltransferase EZH2 inhibitor] phAPPROVAL; TAZEMETOSTAT HYDROBROMIDE [Histone-lysine N-methyltransferase EZH2 inhibitor] phAPPROVAL; GSK2816126 [Histone-lysine N-methyltransferase EZH2 inhibitor] phPHASE_1,UNRESOLVED,chromatin_syndromic
GLUD1,0.8356,1,overgrowth syndrome(0.836),4,,0,,,UNRESOLVED,
