bin,pd_position,n_cells,axial_extent_um,intrinsic_long_axis_um,alignment_abs_cos,volume_um3,sphericity
0,0.0125,30,9.1858,14.015,0.3234,367.5953,0.7889
1,0.0375,8,,,,,
2,0.0625,49,9.776,15.9478,0.3706,472.08,0.7809
3,0.0875,98,8.9546,15.6149,0.3212,430.6633,0.7942
4,0.1125,106,8.9739,15.749,0.3163,428.9016,0.7867
5,0.1375,121,8.7796,15.5097,0.2793,453.3194,0.792
6,0.1625,261,9.6396,16.3301,0.3269,453.0044,0.7688
7,0.1875,233,11.2127,17.141,0.3585,522.6517,0.7554
8,0.2125,398,9.6494,16.2562,0.3201,489.0299,0.7698
9,0.2375,537,9.5448,16.2054,0.3106,520.9202,0.7741
10,0.2625,658,10.3365,17.0029,0.3421,565.415,0.7735
11,0.2875,939,9.8218,17.3804,0.308,552.8588,0.7653
12,0.3125,1042,10.1814,17.7379,0.3095,587.8314,0.7633
13,0.3375,1354,10.4108,18.6383,0.3063,668.9929,0.7517
14,0.3625,1583,11.5425,18.6572,0.3133,655.2422,0.747
15,0.3875,1501,10.3332,18.536,0.3035,682.5386,0.7458
16,0.4125,1493,10.3833,18.5705,0.311,700.5407,0.7508
17,0.4375,1488,10.5355,18.5859,0.3214,691.1487,0.7493
18,0.4625,1763,11.5455,18.1047,0.321,675.6044,0.7467
19,0.4875,1979,11.7321,18.3187,0.3112,710.254,0.7413
20,0.5125,2131,11.4682,18.1193,0.3335,672.3983,0.7386
21,0.5375,2177,11.2318,18.4841,0.3278,763.8108,0.7329
22,0.5625,1923,11.318,18.6183,0.3395,846.5218,0.7389
23,0.5875,1589,13.3876,19.9204,0.3235,971.3301,0.7411
24,0.6125,1359,12.0172,20.5678,0.327,1093.9764,0.7422
25,0.6375,1020,12.3137,20.9942,0.3405,1168.4028,0.7466
26,0.6625,901,12.1289,20.4449,0.3438,1134.5263,0.7491
27,0.6875,712,12.6531,21.2809,0.3451,1299.6112,0.7448
28,0.7125,449,14.5603,23.2024,0.3953,1716.8813,0.7287
29,0.7375,419,15.1413,23.9808,0.3684,1820.1811,0.7304
30,0.7625,341,15.8917,25.1226,0.3487,1940.7903,0.7186
31,0.7875,185,17.9631,27.638,0.3918,2437.017,0.7169
32,0.8125,135,18.5144,31.0702,0.3617,2892.0872,0.6892
33,0.8375,77,19.112,31.3002,0.3562,3078.6244,0.6955
34,0.8625,35,21.5797,34.6747,0.3661,4426.5708,0.6858
35,0.8875,24,27.548,34.4409,0.5621,4406.8294,0.6978
36,0.9125,11,,,,,
37,0.9375,16,,,,,
38,0.9625,10,,,,,
39,0.9875,7,,,,,
