probe	CT_P13	CT_P15	CT_P21	CT_P22	CT_P25	CT_P29	CT_P31	CT_P34	CT_P35	CT_P51	CT_P63	CT_P89	CT_PP4	CT_PP16	CT_PP33	CT_PP87	CT_PP119	CT_PP120	CT_PP129	CT_PP131	CT_PP219	CT_PP285	CT_PP761	CT_PP771	CT_PP779	CT_PP855	CPP_2	CPP_41	CPP_48	CPP_52	CPP_53	CPP_54	CPP_78	CPP_603	CPP_606	CPP_622	CPP_713	CPP_789	CPP_807	CPP_809	CPP_872	CPP_881	CPP_912	CPP_925	CPP_932
cg25771195	0.504504154049779	0.519856224509112	0.560094873604305	0.551307254406507	0.582999203003367	0.492190532921348	0.558969075681849	0.60440062382815	0.504014678676258	0.523733953845708	0.592238525692417	0.558064506164687	0.521208642846688	0.530757770120034	0.603545065516154	0.61128952883814	0.542553119811881	0.560020843993315	0.508280130651888	0.511334842476322	0.488454776583607	0.49665343288871	0.518637071603541	0.615439119834316	0.533279739786204	0.554480805860718	0.529944354409833	0.496661439381775	0.493631720817623	0.502778450348394	0.511115655059734	0.553151306082869	0.517029213742712	0.501595329406463	0.503327132236517	0.618888310038202	0.491612322705533	0.476487418235059	0.542885398186522	0.560916478189799	0.520951041901636	0.554111012772386	0.567769537428287	0.430861688213365	0.524600941619299
cg01262913	0.031840570478571	0.0292300903308194	0.0196630696046479	0.038838653859941	0.0401014979002589	0.0305549932407759	0.0325705459227094	0.0290425835142698	0.0295105705204041	0.0388706703316746	0.0319141621047051	0.0275570453584386	0.0358397811333678	0.0392677336750529	0.0281706666205909	0.0398758636843278	0.0239571599671988	0.0452041619407386	0.0264131511961322	0.0383694804100924	0.037043814378958	0.0346879256677021	0.0518838630187947	0.0328824013305335	0.0416941800563672	0.0456270568092378	0.0413062079259864	0.0444277189379922	0.0436400705684626	0.048997861656372	0.0300575130993314	0.0386393542866957	0.0437233624063993	0.0372007021003835	0.0311730331876534	0.0343929929446966	0.0378765420703024	0.0215349736672669	0.0423419683525675	0.031757525402354	0.0363416465242274	0.0370306277089396	0.0390204175360933	0.0283782335207611	0.0303030529800656
cg26456957	0.0192714820840439	0.0159994444011893	0.0242769851574949	0.0173625538052539	0.0235617477194983	0.0202930508284415	0.0196551471957821	0.0154614256702281	0.0093257315585344	0.0191340525460585	0.0153513341875874	0.0158213801110141	0.0156105137897959	0.0160858589314962	0.0237497931944687	0.0120566220505869	0.00975139402764563	0.0209390258386275	0.0164305747078834	0.010451672987892	0.0108796014549843	0.0128057212337675	0.0101302990680421	0.0197142164329326	0.0350749745707489	0.0385383792063734	0.0302112096431958	0.03640245550289	0.0279888024376143	0.032590933030423	0.0348681163788415	0.0163618741274475	0.0191627320525574	0.0133710650870098	0.0243999838692905	0.015918068131512	0.0124812126507351	0.0178706597771109	0.0271490906181442	0.0127813601886061	0.0164406951449838	0.0133449190356931	0.0111291788261462	0.0154808035071313	0.0156259484761266
cg20828084	0.912475355856412	0.861226205854558	0.868711948576048	0.940703113848163	0.928445470640148	0.88771132805276	0.924818910841814	0.829401295106144	0.883465026032129	0.936075675411772	0.893632357553042	0.87025169135709	0.90623176096043	0.912095106301633	0.89461173631278	0.884143990987478	0.915776376005604	0.90133183079694	0.911346639203838	0.873796175364356	0.887644351930749	0.893250386011778	0.826699798744583	0.848331461942583	0.861095120151929	0.874739496478543	0.905181889454511	0.882954230798861	0.843258264101796	0.901021130073783	0.903917430660106	0.895828896612405	0.894619090932727	0.908391698483661	0.875950844811831	0.917055419954335	0.908776749832905	0.887844430249061	0.903559013551517	0.919898102559327	0.867403276089707	0.846158133550905	0.845089164392808	0.867190612284861	0.880691944469184
cg21378206	0.968233866437523	0.955277312287768	0.973629938496234	0.970440707194711	0.975885009744489	0.957332249347431	0.942721366921465	0.96478748599051	0.964554602550275	0.964718415440546	0.963981625470337	0.963279031297848	0.968661253242781	0.957111461425636	0.956505411966795	0.969128673991787	0.969339936826193	0.960564393879882	0.954876977670448	0.974002087163233	0.976671098392249	0.963232791692737	0.975446599879728	0.975066563475823	0.964518101557437	0.944288715802626	0.951312821330758	0.959547085199166	0.958188103166372	0.956742757539874	0.941703498905138	0.960657555449217	0.967429105362899	0.956791585212057	0.964663377874216	0.970471120189654	0.961184456545671	0.978734844448393	0.966577967732849	0.94774278317483	0.957188485840912	0.951586993513968	0.964255162381055	0.953447175124192	0.965550665646529
cg01656216	0.864111334655937	0.918006942280181	0.804542292267926	0.906098591587872	0.924760422998297	0.899295427183883	0.86565708388448	0.84851629099638	0.864204089259707	0.863775863665185	0.904215046983151	0.888206323161337	0.857510317820671	0.947837243242847	0.872351754882906	0.924729759215219	0.884918924997494	0.889879488601654	0.877900444688901	0.878333116149497	0.945058686200036	0.900470354457558	0.927429385873396	0.905475469671734	0.864049996492582	0.860921971000273	0.918953450736979	0.861770922986972	0.89023215934416	0.881071047473244	0.872977043045289	0.905278880098381	0.878680554447951	0.892161090441933	0.909468846919117	0.869898991196879	0.886483877512861	0.873155713503125	0.905083695987105	0.95076960695868	0.901094575163403	0.939363571204919	0.894782664585775	0.796113550505645	0.94221823385613
cg14723032	0.790422405794044	0.808061456760448	0.834600817015735	0.844862317694687	0.848972625231574	0.826883100044188	0.75329138123836	0.817345130069701	0.823466965830862	0.81912727883639	0.82880787597785	0.819391694112429	0.847707368450064	0.828020914124472	0.790790029285817	0.861067522831238	0.805302132407094	0.838523893981321	0.831207455898873	0.807751448989762	0.816687575106714	0.809372458608147	0.833285586838372	0.823243794123927	0.803213099990378	0.789142791092564	0.815747513953846	0.826972681661776	0.789110099067289	0.806179570125849	0.788112607574211	0.80018514765781	0.815937654667555	0.815205203472581	0.841229012347224	0.832273817098523	0.799123712761493	0.76814806079703	0.827694883778711	0.844980288451049	0.790997823027999	0.854655999498482	0.829422475675494	0.793552387546504	0.870620995319938
cg15341340	0.0224546148037721	0.0303548586925417	0.0331546179762973	0.03089811945141	0.0275557323692196	0.0276721904815809	0.0217913101631964	0.0518548754847833	0.0418520741397077	0.0342930422341757	0.0308517691247448	0.03648603801828	0.0344900164520135	0.0264700314647476	0.0424214816975335	0.0303870706250134	0.0308424145348729	0.017217422062513	0.0295962107259575	0.0247594649596873	0.024657104348749	0.0273780940157887	0.0293770765132275	0.0480518560793827	0.0492159774304801	0.0367575835369054	0.0391018862369389	0.0387388373187717	0.0457852386090094	0.0313286581374678	0.0315945350500206	0.0359357783725558	0.0262776165341887	0.0269418133019787	0.0307669149463068	0.0343576649384496	0.0312650996209005	0.038072287548743	0.0318831336951719	0.0307033984512878	0.0298922053878053	0.0303857822780509	0.0382661831056892	0.0341612726656465	0.0298313305954643
cg24081819	0.0981576645348269	0.0586685234310153	0.0441850263263466	0.0601319411564265	0.0771331400806108	0.052419432698803	0.0215111973577212	0.0536502073957548	0.102281665162082	0.0497285194363613	0.0961065319217204	0.0658086877677095	0.100011652539169	0.0616999506665183	0.0667950714431856	0.0883934119309188	0.0846238301321468	0.0861735968360542	0.0643179965763612	0.101310618288596	0.0685812153453476	0.0642724163746602	0.0939572727272211	0.0689395401259397	0.102410773693022	0.143255701175914	0.0830096154273668	0.100852045104122	0.0832615864738688	0.0733105610024352	0.058267259776107	0.0759990852580394	0.148819978438694	0.0865701974525517	0.0751604331197147	0.0791604808054229	0.0900671143200554	0.0583436397347471	0.0651572203489484	0.111883286930373	0.110262698929036	0.067035772602648	0.0840315241321685	0.0773912716874915	0.0555589593584358
cg27494383	0.0186726420453635	0.013887467818213	0.0136820970419731	0.00394583118963352	0.0136191375142668	0.0208943494679912	0.0165473879160623	0.00976061544157229	0.0132173698924246	0.0166155852493664	0.0152987450819891	0.0141402582450508	0.0118413216321065	0.0229455967123207	0.017240368528841	0.00587240121666801	0.00832442335411072	0.0124703225556856	0.00860166581199811	0.0106561749630008	0.0141118843824455	0.0118556306121248	0.00888304755671824	0.0236948024379759	0.0201749050863427	0.0226941667998587	0.015284507011566	0.0180502478061118	0.0191992861191373	0.0175834398198931	0.0159280792061753	0.0194523103195008	0.00934486219562692	0.0160416162228636	0.0134440383869447	0.0107934261409482	0.0128037900527348	0.00735985018458633	0.0167173350504604	0.0199857056486679	0.0151459836961857	0.0146512721545188	0.0136434334657273	0.0110815552267514	0.00747504648174426
