probe	CT_P13	CT_P15	CT_P21	CT_P22	CT_P25	CT_P29	CT_P31	CT_P34	CT_P35	CT_P51	CT_P63	CT_P89	CT_PP4	CT_PP16	CT_PP33	CT_PP87	CT_PP119	CT_PP120	CT_PP129	CT_PP131	CT_PP219	CT_PP285	CT_PP761	CT_PP771	CT_PP779	CT_PP855	CPP_2	CPP_41	CPP_48	CPP_52	CPP_53	CPP_54	CPP_78	CPP_603	CPP_606	CPP_622	CPP_713	CPP_789	CPP_807	CPP_809	CPP_872	CPP_881	CPP_912	CPP_925	CPP_932
cg01262913	0.031840570478571	0.0292300903308194	0.0196630696046479	0.038838653859941	0.0401014979002589	0.0305549932407759	0.0325705459227094	0.0290425835142698	0.0295105705204041	0.0388706703316746	0.0319141621047051	0.0275570453584386	0.0358397811333678	0.0392677336750529	0.0281706666205909	0.0398758636843278	0.0239571599671988	0.0452041619407386	0.0264131511961322	0.0383694804100924	0.037043814378958	0.0346879256677021	0.0518838630187947	0.0328824013305335	0.0416941800563672	0.0456270568092378	0.0413062079259864	0.0444277189379922	0.0436400705684626	0.048997861656372	0.0300575130993314	0.0386393542866957	0.0437233624063993	0.0372007021003835	0.0311730331876534	0.0343929929446966	0.0378765420703024	0.0215349736672669	0.0423419683525675	0.031757525402354	0.0363416465242274	0.0370306277089396	0.0390204175360933	0.0283782335207611	0.0303030529800656
cg14977496	0.839391424285648	0.851873778273582	0.856711864892381	0.883599410790845	0.810703426930173	0.818059885374548	0.788668889551231	0.860836120055727	0.884205008791006	0.896396676275119	0.827698275669087	0.851837128589237	0.875712190158366	0.757239433648386	0.793984653593009	0.778646339005274	0.764518646653149	0.801736202060055	0.849042484606139	0.864188455683539	0.826973658143446	0.872727940235851	0.778268983566266	0.809570593333827	0.83351619183144	0.84069692018041	0.812382255110254	0.841570511640151	0.723704332474212	0.821817256928602	0.889965597558898	0.865536802552979	0.833799442550871	0.855618134516685	0.841699010313447	0.833329898774347	0.826346329097363	0.883531774150594	0.813473473447742	0.829556820456428	0.85013179304461	0.785240563082664	0.850014424552504	0.896853307063022	0.89263837433988
cg03562868	0.610338675024789	0.634098802566059	0.673461979683796	0.652729196207797	0.68110056053823	0.734994838155877	0.656340822136116	0.637318569355491	0.649148145644405	0.658249256852954	0.730298543585992	0.571720328862181	0.599160313112113	0.676746143962043	0.534247480318742	0.649077055544922	0.609876855991957	0.704876777419227	0.620564515641025	0.623460748011824	0.720729027079062	0.690461564412323	0.639542140941963	0.611443044565391	0.555103299316555	0.496414562152822	0.68830916254951	0.581510937737848	0.531417568972071	0.645762754924157	0.579867126709428	0.567225822263263	0.576624449780207	0.618418867058472	0.583973628880787	0.669524374168953	0.627899686601999	0.607031832969344	0.518638517864404	0.603186893507693	0.556785942738478	0.557909955877136	0.522574154298655	0.519809209176661	0.624581786876837
cg14188639	0.0507375735483548	0.0357463444961763	0.0522109320898031	0.0445776816355422	0.0417183290012946	0.0631585695126468	0.0990472265416361	0.0558558727354481	0.0457314421685399	0.0580636341113722	0.0786476278278381	0.0546999402526724	0.0489423698887941	0.0598895800240701	0.0568518816835609	0.0665153938582076	0.0388592807200677	0.0954524136321652	0.0546740357513669	0.0756000779582863	0.074789095297596	0.0467819516172422	0.0527670148076994	0.0769721460630396	0.0925756235369394	0.087961559881184	0.149766059795153	0.0404981859136551	0.0686554205145214	0.075172756760335	0.0742334695773872	0.0708232149533891	0.0957994127946707	0.0529099963077856	0.0713129063556658	0.0697659548555629	0.0981265060546116	0.0595587668974782	0.111671740171456	0.0751057768315362	0.0790930566734952	0.0429556156395949	0.0503847452806595	0.038751940732221	0.0687073000597963
cg24564503	0.976446283809555	0.974663064380614	0.982351038343798	0.968955247003465	0.98053679946282	0.975517784912185	0.971878682090712	0.970356176941487	0.977317562960631	0.959672996120725	0.96926254849505	0.969872409317516	0.968925743924001	0.971539464246032	0.965213602072736	0.970260634612746	0.967004982807593	0.97518987093413	0.971877707201831	0.966124897089013	0.961595034165748	0.981024199011942	0.971364879643831	0.952668653256005	0.963357921862564	0.952133593954815	0.965291160923057	0.958664961281825	0.947983933937945	0.950067408611305	0.949898215244217	0.968991258897398	0.975610208209124	0.968258574517231	0.964049434270025	0.979247185613812	0.964425112609526	0.963731733998465	0.96582636043747	0.961691577123016	0.964424208917107	0.955626383674443	0.96458472683774	0.980081711311666	0.973907039739665
cg26401390	0.557991046067988	0.562906497657337	0.600348632265263	0.552989084174992	0.53630807850599	0.5633180687098	0.53834242836551	0.558391596815785	0.525990784936811	0.56552763862126	0.53600845790051	0.527266091490624	0.53744479917285	0.531288662625935	0.488239021546081	0.590174859594682	0.586613292590925	0.575449391672615	0.610717879093668	0.595170153747035	0.527054310084473	0.603429466170632	0.478032610879021	0.52531784768113	0.551566278547208	0.543684756698997	0.572610997773316	0.53560406657605	0.502397844349464	0.549177395775508	0.51752913271558	0.549315889602795	0.556163480574478	0.589528366680366	0.558452989111354	0.610275291735252	0.588687241648414	0.507778220369893	0.562596129208103	0.550167734816745	0.541215881687113	0.508436443841746	0.548551531135176	0.563429656026913	0.563346167707724
cg13313518	0.0731093348228061	0.0610180726250701	0.0895375139279099	0.164989696262915	0.0434571338898367	0.103421503924494	0.0682046481871451	0.0598914716817128	0.140498598396208	0.0637681126806984	0.0570115525466343	0.0752418030037187	0.0823637689706644	0.0563367962475005	0.105031005850048	0.0572320059746229	0.148269635303265	0.0638313164564912	0.0648111411588917	0.0749375357414876	0.0374730306918325	0.175412048464511	0.043029363922354	0.0702860294828074	0.102003604257465	0.105270848761375	0.0769338885135202	0.094523108489081	0.0599117143641026	0.0780014352131433	0.0596840009099376	0.0951075779351622	0.143891517275266	0.0675273820247195	0.102603964843757	0.0818783141390916	0.0914031924936628	0.0668608790214089	0.0483365061260491	0.0646043701430622	0.0857649833963152	0.0575534489040909	0.0762402351438233	0.0978191123944919	0.101419960428846
cg25969122	0.0711792913964847	0.0838152590350875	0.0384436896567804	0.0827846798600143	0.0886313245988529	0.0890177102601217	0.127167672142029	0.0704276896365564	0.0667911727868916	0.0990357697630215	0.0622223345224272	0.115985956300399	0.119438810639124	0.212079427827597	0.134789253325863	0.166175673255018	0.100555578563148	0.0753305625032004	0.0807780560874201	0.0804705710224112	0.197981999763589	0.125334221663186	0.137743837234587	0.176086076984634	0.120256386892249	0.108923811969751	0.169884082406632	0.209100415995811	0.103151463903215	0.0781711675459336	0.111031074211606	0.0791898717474686	0.165984169286965	0.118985527047614	0.171080513606393	0.10586212038361	0.0643270000237403	0.0728480696516561	0.197424952865241	0.192711531765051	0.118076200372537	0.131098161760298	0.0931191547378334	0.0948601779056609	0.0986005232756914
cg20728696	0.0348856609218405	0.0500950084744192	0.0408276496382646	0.0553442934318384	0.0421202708776748	0.0379732918014251	0.0228673608165074	0.0663959598183919	0.0515002390676909	0.0355844362168014	0.0422902355362618	0.0393908503847101	0.0252307913668808	0.0407594711632407	0.0526974016263851	0.0409434598307902	0.0411177105223944	0.0444396934111325	0.0389444736779969	0.0286065893211997	0.0263545619432709	0.042506524805117	0.04335285977686	0.0550164513847228	0.0458881778406275	0.0751235872850751	0.0527019017135841	0.0424487227767375	0.0513618644188223	0.0554342682431905	0.0518921788832531	0.0390309697651907	0.0356010428342005	0.0377919866604109	0.0457416458931885	0.0391898206995487	0.0371636891063891	0.0351841924166423	0.0541658691817902	0.046151916886193	0.0385858699616171	0.0488508763428764	0.0393188956592482	0.0432537664693956	0.0283262227778232
cg13946792	0.929539547496149	0.958734203848272	0.930138078026586	0.944982019188232	0.927655255322832	0.937332169641803	0.958198412491283	0.92157718265742	0.942118830980361	0.952679432050172	0.951407852968488	0.942002637215234	0.935882601288164	0.951692627007193	0.86485966216768	0.963394972024674	0.907487454310666	0.932875162616196	0.941977560637274	0.961486355050564	0.95925300298427	0.955323062951402	0.951811875760801	0.906765602195481	0.940839447613487	0.929932518303494	0.912020084385697	0.887644446718795	0.938208788661664	0.937232945905998	0.913887528165846	0.935995883707643	0.932776837433447	0.950858971898287	0.949229683828699	0.951922216418011	0.957349177061022	0.939127540796334	0.923239728087672	0.953376040331111	0.939194237704727	0.906381448418261	0.913662256014886	0.956450860602202	0.923058643702446
cg13828440	0.877045604421072	0.859041400792635	0.868094174836149	0.842212163828813	0.907892456868593	0.88043881798325	0.843929046778855	0.868629692881857	0.925787897391318	0.873051734137268	0.888855812960531	0.88639053091642	0.875848190076855	0.760123609728933	0.900579811049344	0.876277880151228	0.886373817551371	0.805756804440462	0.847650963510899	0.841282931083581	0.845920017828179	0.809617594417597	0.843124356198087	0.833602665317296	0.878132256510637	0.842388851916294	0.829471948684066	0.781746747593799	0.794225034002678	0.799085848785996	0.837546780333223	0.811748940549854	0.879856840584479	0.869695218496124	0.86126828055278	0.880970164766115	0.872246504416441	0.887400969616258	0.784756905393827	0.765418217637189	0.86289561775315	0.81585947634673	0.893650214871479	0.938505981516106	0.887669192066112
cg03384175	0.734375122812705	0.777910671597807	0.715910085796741	0.770501053544402	0.734201578425529	0.777252234837198	0.792548458741198	0.691816199692398	0.684776574244548	0.639159149204494	0.626935607638039	0.595959557043979	0.640166642831186	0.617025811731055	0.671171275398355	0.669289248019369	0.633703597708236	0.584768040118597	0.639577181127035	0.62030661219128	0.618137003674357	0.630200717693587	0.600654103705998	0.591448255991328	0.602764339761124	0.602247431948665	0.599848861357467	0.576120242133788	0.58577803276232	0.574149893346919	0.5570661419684	0.656618011970228	0.602533704331453	0.646158038193252	0.625022736367022	0.658404476599867	0.654152742521503	0.581735443523937	0.632489894641218	0.603602770353465	0.612656319511197	0.61049133774226	0.59223006191139	0.58741085953519	0.626311644780003
cg15910502	0.0372357979218217	0.0323674842237539	0.0336573326304637	0.041818791711814	0.0285714674481654	0.0530111735955796	0.0405741091653696	0.0305471276513133	0.026795777244602	0.0490111235754843	0.0348926975612612	0.0275915156124787	0.0284183693449054	0.0345279067207904	0.0433844559630862	0.0321768945421705	0.0177592526092723	0.0356186209223656	0.0313337961989893	0.0366744695178777	0.0359242041305924	0.0222044743940802	0.0213317390177751	0.0517597262058132	0.0606401644045643	0.0823230168599279	0.0470896183598239	0.0368149579780065	0.0818052905329358	0.0517087391317413	0.0551770482765672	0.0404271629549481	0.0382565795447846	0.0415819669972977	0.0343246416581021	0.0457874362747805	0.0453067320797242	0.0301037474263464	0.0343370736205143	0.0315529705273788	0.0430564366785312	0.0354501319161931	0.0316042106128495	0.0372680106214873	0.0338729646360423
cg06743811	0.572525938850379	0.695256192380756	0.685996561432967	0.722211233219851	0.657760013209782	0.673368447856093	0.654985042275866	0.76003038492159	0.652918849602732	0.708835297622376	0.66233594211286	0.685050909074306	0.715586692914926	0.660064506202786	0.624377270181278	0.697293321272708	0.730364737430636	0.692370101936306	0.739732919161867	0.692131621829352	0.694808778720964	0.595643040164295	0.635061851907591	0.692986639145622	0.697059961707046	0.68947777756823	0.682513857585205	0.691655477498339	0.703276573836468	0.657016314384621	0.685352766066306	0.697925207586608	0.661030640073748	0.677511727146279	0.708631013826841	0.724407124886831	0.666647080939938	0.632795931866515	0.686501698814736	0.621648072833723	0.661383580529951	0.678926181148464	0.697430237083216	0.624001305634787	0.674689937927732
cg08166272	0.213926899383556	0.261898997653831	0.177395481238095	0.202380107694541	0.212047965679412	0.186261198026749	0.171757562699301	0.194230068955051	0.240384248529701	0.241004235536158	0.201755847318967	0.152520926763913	0.231464837057958	0.204766057314794	0.193248250880461	0.242841200288813	0.258125722416307	0.288054849066446	0.248220113951915	0.237400967589861	0.183859470543554	0.255040413440531	0.181453884112239	0.15632612236913	0.29644861210097	0.184424608709089	0.184642248558536	0.251907193054378	0.221801208908761	0.18454493269523	0.19365601378624	0.34388940435143	0.211532563869777	0.183733330911317	0.285278657830171	0.260945488176603	0.272625183573251	0.229899926120854	0.201761673848278	0.190921852424553	0.160386319484473	0.195542154700085	0.159360826121427	0.270574243818869	0.222241078204579
cg10176345	0.921613111182041	0.826953580964333	0.875211117010485	0.900325811673376	0.817660763341936	0.902467673824355	0.890972356076687	0.936089047347052	0.924004729174353	0.896171932302803	0.906965464214391	0.925670302359992	0.956686461187792	0.941016312818719	0.91485008381653	0.941598715796381	0.933418098638079	0.927251346533287	0.93722371104773	0.946401491314031	0.92729848549815	0.965884285010087	0.931615864321528	0.937300837148353	0.919250263981415	0.89498593553232	0.951789988761459	0.916584185147951	0.913047314780702	0.927110531276202	0.934543832362295	0.937504842636493	0.918811574872293	0.925264591943036	0.917980262332075	0.911043005249383	0.944796488969306	0.924143414456115	0.910088243754766	0.952443867694977	0.92730394933803	0.907776884239627	0.908875649093494	0.934130438116679	0.951917701746073
